Repositories,,,,,,Classification,,,Xtext files,,,,,,,Ecore files,,,,MWE2 files,,,Textual Instances,,,
Owner Login,Repository Name,Repository URL,#Forks,#Stars,Timespan (Days),Type,Language type,Retrofitting,Exist?,Count,Aver. Commit,Timespan (Days),Proportion (%),Changed Row Count,Changed Rule Count,Exist?,Count,Aver. Commit,scenario,Exist?,Count,Aver. Commit,Exist?,Count,Aver. Commit,Comment
waynepiekarski,XTextureExtractor,https://github.com/waynepiekarski/XTextureExtractor,14,26,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
TypeFox,theia-xtext-sprotty-example,https://github.com/TypeFox/theia-xtext-sprotty-example,28,68,482,Infrastructure,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
altran-mde,xtext-sirius-integration,https://github.com/altran-mde/xtext-sirius-integration,6,21,1800,Infrastructure,,,YES,8,2.75,804,44.67,-1.38,0.12,YES,11,3,Both,YES,8,1.63,YES,10,2.9,
NielsLiisberg,RPG-lexer,https://github.com/NielsLiisberg/RPG-lexer,0,6,0,Language,Historic language,YES,YES,1,3,0,0,1,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
TypeFox,vscode-xtext-sprotty-example,https://github.com/TypeFox/vscode-xtext-sprotty-example,10,13,96,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
eclipse,xtext-website,https://github.com/eclipse/xtext-website,13,2,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
UnBCIC-TP2,Oberon-IDE,https://github.com/UnBCIC-TP2/Oberon-IDE,2,0,0,Language,Historic language,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,https://github.com/PacktPublishing/Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,6,9,1361,Training/Examples,,,YES,11,1,0,0,0,0,YES,2,1,metamodel-driven,YES,12,1,YES,7,1,
resloved,xtext,https://github.com/resloved/xtext,2,8,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
lurenzhangdeshuai,EmojiText-XText,https://github.com/lurenzhangdeshuai/EmojiText-XText,3,7,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
