owner,repo,branch_count
waynepiekarski,XTextureExtractor,24
TypeFox,theia-xtext-sprotty-example,10
altran-mde,xtext-sirius-integration,3
UnBCIC-TP2,Oberon-IDE,1
TypeFox,vscode-xtext-sprotty-example,6
eclipse,xtext-website,4
Mabar16,xtextMath,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,1
resloved,xtext,1
lurenzhangdeshuai,EmojiText-XText,1
kuniss,xtext-ide-extensions,1
MISO4202,co.edu.uniandes.gramaticajmeter,1
preesm,ripacola-xtext,1
GiordanoT,ocl-xtext,1
ravornyo,xspice,1
TypeFox,xtext2langium,2
cau-se,sprat-ecosystem-dsl-xtext,1
raptor494,Xtext-Minecraft-JSON-Languages,1
OpenSextant,XText,30
laubfall,jugh-xtext-arkanoid,2
khabdrick,LambdaXtextract,1
bsati,mgpl-xtext,1
SuelanyBrito,JFlex_CUP_XText_SQL,1
TopXDevTeam,TopXTextUI,1
ngreve,xtext_web,5
nmaoez,composer-language-server,
FAMILIAR-project,xtext-dsl-compiler-example,1
MISO4202,xtext-egl-sql2java,1
program-in-chinese,xtext_tutorial_15_min_zh,1
oliverablagojevic,QuestionnaireDSL,1
hvbargen,meth,1
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,1
idiomaticsoft,xtext-tips,1
ElBilbao,DSL-Wizard-Creator,1
ScytherTool,dsl,1
pablitar,firewall-xtext,1
Scholvac,EclipseTaskJuggler,1
zxhr,gradle-xtext-generator,2
tmtron,ex.xtext.lsp,1
echebbi,standalone-xtext-example,1
darvasd,xtext-docs-gen,2
rainerschuster,sygus-ide,1
Communote,communote-restws,1
Zannith,XtextTest,0
AnnaLenaMeiners,XtextExamples,1
Kerolos77,XTextEditor,1
JoostvanPinxten,SDF3-editor,1
holgerschill,xtextCodebuff,1
devzwy,XTextView,1
mraminella,XtextExamples,1
msntts,XtextStudy,1
chiachong,XTextClassification,1
vinisbranco,XtextGerador,2
pakhopav,XtextPlugin,1
IamRaziel,XtextTutorial,1
dstoft,XtextWorkspace,1
MisbahAwan,XtextCollaborativeEnvironment,1
pakhopav,XtextLanguage,1
fonuhuolian,XTextView,1
RomainLefeuvre,xtextHW,1
BestCoderXQX,XTextFlagDemo,1
vinisbranco,XtextTrabalho2,1
loicperreal,Xtext,1
goflyboy,xtextsample,1
SharkJ,XtextInheritanceTest,1
hewenyuAndroid,XTextView-Android,1
OLibutzki,XtextExtras446,2
vinisbranco,XtextJavaScript,2
AndreasGroentved,XtextDSL2018,1
robertchristen,XTextCategorizer.Demo,1
alvarofpp,tutorial-xtext,1
pakhopav,XtextLanguageGradle,4
pakhopav,xtext,1
adamhorvath88,Xtext,1
0xMYsteRy,Xtext,1
taylorlohan,XtextHealth2.0,2
Caroline66666,xtext,1
xuxiaowen87,XText,1
MisbahAwan,xtext,1
ichxorya,failed-xtext2vscode-example,1
helunwencser,PAOC,1
RobMoloney,xtext,1
l1ppe,xtext,1
madhouni,wps-ecore-ocl-xtext,1
MISO4202,uniandes.mdd.xtext2xmi,1
tchebs,xtext,1
mlopez8621,xtext,1
rainerschuster,tlsf-ide,1
ShivaniBali,Theia-Xtext-Yangster-Project-,16
ehah,XtendExample,1
stolorz,RankPL-EclipsePlugin,1
vks2106,prenum,0
drkstr101,hello-xtext,1
arthurmosley,Essex-Test,2
eclipse,xtext-website-publish,2
jflopezfernandez,xtextutils,1
AlanQuadros,xtextlpmangan,1
abieren,MDSD-Xtext-Project-for-JavaFX,1
OezzyB,e-portfolio-Xtext,1
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,1
zinon,xtextminer,1
mustafa231,xtexteditor,1
MOSafely,xtextrepo,1
uqbar-paco,firewall-dsls-externos-xtext,1
LorenzoBettini,xtext-domain-model-guice-5,4
BlackBeltTechnology,karaf-features-eclipse-xtext,3
vashchenkov,xtext-samle,1
germono,FormXtext,5
Mehdi23,FlexoModelingLanguage,1
ShrawanBK,xtext_salestransaction,1
sbrocard,statemachine-generator,1
szschaler,henshin_xtext_adapter,1
magick93,xtext,1
blue995,xtext-orm,1
efuentesp,Xtext-UCS,1
katmatt,graphql-xtext,1
wibeck,testXtext,1
msun68,xtext-examples,1
xTexturedxx,xTexturedxx,
HexXText,HexXText,1
Gricel-lee,Xtext-Maven,1
kolchanov,org.xtext.example.mydsl.parent,1
HouseBuilder-MDE,HouseBuilder-Xtext,1
EvdokimovMaks,xtext-expressions,1
Sorokatov,xtext-demo,1
coffeeframework,HLVL,3
bogdanvuk,xvhdl,2
r4mtor,xtext-talks,3
nbhusare,xtext-playground,1
kokostino,xtext_kokomodel,1
jonev,HTTP-REST-test-DSL,1
rainerschuster,yacc-ide,1
lahirugayanga,xtext-projection,1
daniel614,xtext-webapp,1
Spiderixius,DSLIndividualXtext,1
elite-se,elite-se.xtext.languages.plantuml,1
vinicius0197,metacrysl,1
torosky,Libreria-Xtext,1
MaxiEckert,Xtext-example,1
as500,xtext-rpgle,1
JavierOramas,AudiXText,2
xtext,xtext-monorepo,1
vjordan,Xtext_browser,1
Yop-La,xtext_project,1
JesterOrNot,Gitpod-XText,1
eclipse,xtext-archive,1
Lethalaric,xtext-learning,1
DSIE2,tr.xtext,1
ShivaniBali,Theia-Xtext,1
kthoms,xtext-webinar,2
jonathankoehn,entitygenerator,1
zhanglin2018,learnXtext,1
seebgar,Xtext-Projects,1
antoine-morvan,caph-java-parser,1
AbQadirr,dialogXtextflow,1
mdsd-team-1,photos-xtext,1
arockiaraj1994,xtext-mvn,2
moein9,passXtext,1
saivarunr,xtext-editor,1
JesterOrNot,xtext-cli,2
Somiacao,xtext-web,1
KasperGam,IGESImport,1
LIONant-depot,xtexture_compiler,1
tchebs,xtext-example,0
ballcoach12,xtext_samples,1
AssaX0,MDSE-xtext,1
samples-projects,sample-xtext,1
karthik137,xtext-demo,1
MDE-Course-23-24,SIRIUS-XTEXT,1
tshoang,WhitespaceIDE,1
laurocesar,xtext-domainmodel,1
Yahaya12,Xtext-project,1
malhxr,SpeechXtext,1
stanimirovv,xtext-extractor,11
3m3k3,xtext-congen,1
Ixgauth,perspectiveDSL-Sirus-Xtext,2
zhou-jg,tefler,1
tmtron,ex.xtext.twog,4
bproenca,mpti-dsl,1
szarnyasg,sql-pgq-xtext,
adrianrutle,PCS953-EMF-Exercise,1
protossoftware,ReqText,1
yamen-njm,IotXtext,1
TVTower,TVTDatabaseEditor,2
epsilonlabs,emc-xtext,1
Tim-S,ReqLNG,1
lvanzeun,ulm-xtext-test,1
purerstamp,N7.compilateur,1
