owner,repo,average_difference
waynepiekarski,XTextureExtractor,0
TypeFox,theia-xtext-sprotty-example,0.0
altran-mde,xtext-sirius-integration,-5.25
graph-quilt,graphql-xtext,-36.0
TypeFox,vscode-xtext-sprotty-example,0.0
eclipse,xtext-website,0
intuit,common-xtext-expression-language,-1.0
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,0.0
resloved,xtext,0
lurenzhangdeshuai,EmojiText-XText,0
kuniss,xtext-ide-extensions,-8.0
graph-quilt,xtext-service-dsl,0.0
btc-ag,service-idl,-537.0
eventB-Soton,XUML_B,-7.0
Minres,CoreDSL,-1175.0
TypeFox,xtext2langium,0
v-bashev,post_core,-125.0
NielsLiisberg,RPG-lexer,-1.0
OpenSextant,XText,0
laubfall,jugh-xtext-arkanoid,-11.0
khabdrick,LambdaXtextract,0
bsati,mgpl-xtext,-6.0
UnBCIC-TP2,Oberon-XText,0.0
TopXDevTeam,TopXTextUI,0
ngreve,xtext_web,0
nmaoez,composer-language-server,-1.0
FAMILIAR-project,xtext-dsl-compiler-example,0.0
eventB-Soton,XTheory,-33.0
program-in-chinese,xtext_tutorial_15_min_zh,-10.5
code-kontor,openCypher-Xtext,-4.0
eclipse,epsilon,-3.5
UnBCIC-TP2,Oberon-IDE,0.0
idiomaticsoft,xtext-tips,0.0
atb,pt.isep.dsl.puml,-0.5
Webastronaut,mgpl,0.0
PAMunb,MetaCrySL,-214.0
raghvendra-v,tosca-yaml-lsp,-43.0
zxhr,gradle-xtext-generator,0.0
tmtron,ex.xtext.lsp,-4.0
echebbi,standalone-xtext-example,0.0
darvasd,xtext-docs-gen,0.0
jcabot,WordPress-Plugin-DSL,-53.0
JensBAndersen,PolicyLanguage,-57.0
Zannith,XtextTest,0
AnnaLenaMeiners,XtextExamples,-12.5
Kerolos77,XTextEditor,0
Mabar16,xtextMath,0.0
holgerschill,xtextCodebuff,0
devzwy,XTextView,0
mraminella,XtextExamples,0.0
msntts,XtextStudy,-1.5
chiachong,XTextClassification,0
vinisbranco,XtextGerador,0
pakhopav,XtextPlugin,0.0
IamRaziel,XtextTutorial,0.0
dstoft,XtextWorkspace,-3.5
MisbahAwan,XtextCollaborativeEnvironment,0.0
pakhopav,XtextLanguage,0
fonuhuolian,XTextView,0
RomainLefeuvre,xtextHW,0.0
BestCoderXQX,XTextFlagDemo,0
vinisbranco,XtextTrabalho2,0.0
loicperreal,Xtext,0
goflyboy,xtextsample,0
SharkJ,XtextInheritanceTest,0.0
hewenyuAndroid,XTextView-Android,0
OLibutzki,XtextExtras446,0.0
vinisbranco,XtextJavaScript,0
AndreasGroentved,XtextDSL2018,-283.0
robertchristen,XTextCategorizer.Demo,0
alvarofpp,tutorial-xtext,-18.0
pakhopav,XtextLanguageGradle,-0.22580645161290322
pakhopav,xtext,-12.0
adamhorvath88,Xtext,-4.0
0xMYsteRy,Xtext,0.0
taylorlohan,XtextHealth2.0,0
Caroline66666,xtext,0
xuxiaowen87,XText,0
MisbahAwan,xtext,-10.0
ichxorya,failed-xtext2vscode-example,0.0
hwong23,dsl.evtool,-11.0
RobMoloney,xtext,-0.2
l1ppe,xtext,0.0
madhouni,wps-ecore-ocl-xtext,0
MISO4202,uniandes.mdd.xtext2xmi,0
tchebs,xtext,0.0
mlopez8621,xtext,-21.0
magick93,xtext,0.0
ShivaniBali,Theia-Xtext-Yangster-Project-,0.0
ehah,XtendExample,0
MISO4202,co.edu.uniandes.gramaticajmeter,0.0
vks2106,prenum,0
drkstr101,hello-xtext,-61.0
arthurmosley,Essex-Test,0
eclipse,xtext-website-publish,0
jflopezfernandez,xtextutils,0
AlanQuadros,xtextlpmangan,-12.0
jonaslagoni,JSON-Schema-to-internal-DSL,-276.0
OezzyB,e-portfolio-Xtext,0.0
fedorov-vk,apds_dsl,-14.0
zinon,xtextminer,0
mustafa231,xtexteditor,0
MOSafely,xtextrepo,0
bproenca,mpti-dsl,-5.0
LorenzoBettini,xtext-domain-model-guice-5,0.0
BlackBeltTechnology,karaf-features-eclipse-xtext,0
vashchenkov,xtext-samle,0.0
germono,FormXtext,0.0
Quingo,compiler_xtext,-47.0
ShrawanBK,xtext_salestransaction,0.0
tshoang,XMarking,-0.5
szschaler,henshin_xtext_adapter,0
hakimuga,BIP-language,0.0
adautofbn,pascal-xtext,-26.0
efuentesp,Xtext-UCS,-1.0
preesm,ripacola-xtext,-20.0
wibeck,testXtext,0.0
msun68,xtext-examples,0.0
xTexturedxx,xTexturedxx,0
HexXText,HexXText,0
Gricel-lee,Xtext-Maven,0.0
kolchanov,org.xtext.example.mydsl.parent,-11.0
kecksk0enig,vuc-xtext,-30.0
EvdokimovMaks,xtext-expressions,0.0
Sorokatov,xtext-demo,0
uppaal-emf,uppaal-xtext,-30.0
matheuslenke,Xtext-UML,-24.5
r4mtor,xtext-talks,-4.0
nbhusare,xtext-playground,0.0
kokostino,xtext_kokomodel,-70.0
GiordanoT,ocl-xtext,0.0
dr-jam,ABL-XText,0.0
lahirugayanga,xtext-projection,0.0
daniel614,xtext-webapp,-14.0
Spiderixius,DSLIndividualXtext,-2.0
mdsd-team-1,photos-xtext,-78.0
efuentesp,xtext-cobol,-197.0
torosky,Libreria-Xtext,0
MaxiEckert,Xtext-example,0.0
as500,xtext-rpgle,0
JavierOramas,AudiXText,0
xtext,xtext-monorepo,-9.917748917748918
vjordan,Xtext_browser,0.0
Yop-La,xtext_project,-6.0
JesterOrNot,Gitpod-XText,0.0
eclipse,xtext-archive,0
Lethalaric,xtext-learning,0.0
DSIE2,tr.xtext,0.0
ShivaniBali,Theia-Xtext,0.0
kthoms,xtext-webinar,0
christopherosthues,mgpl-xtext,0.0
zhanglin2018,learnXtext,-16.0
seebgar,Xtext-Projects,0.0
Vallenstein,xtext_web,-16.0
AbQadirr,dialogXtextflow,0
blue995,xtext-orm,-8.0
arockiaraj1994,xtext-mvn,0.0
moein9,passXtext,0
saivarunr,xtext-editor,0
JesterOrNot,xtext-cli,0
Somiacao,xtext-web,-126.0
katmatt,graphql-xtext,-44.0
LIONant-depot,xtexture_compiler,0
tchebs,xtext-example,0
ballcoach12,xtext_samples,0
AssaX0,MDSE-xtext,0.0
samples-projects,sample-xtext,0.0
karthik137,xtext-demo,0.0
MDE-Course-23-24,SIRIUS-XTEXT,0.0
softlang,megal-xtext,-200.0
laurocesar,xtext-domainmodel,0.0
Yahaya12,Xtext-project,0
malhxr,SpeechXtext,0
stanimirovv,xtext-extractor,0
3m3k3,xtext-congen,0.0
pen-zhang,xtext_elm_editor,0
NSaitoNmiri,toppers_cfg_xtext,-6.0
tmtron,ex.xtext.twog,-5.5
vinicius0197,metacrysl,-1.0
Dexels,navascript-editor,-215.0
adrianrutle,PCS953-EMF-Exercise,0
ravornyo,xspice,0.0
yamen-njm,IotXtext,0.0
kainzpat14,xtext-plsql,-83.0
epsilonlabs,emc-xtext,0
robertovillarejo,kukulkan-grammar,-220.0
lvanzeun,ulm-xtext-test,-20.0
purerstamp,N7.compilateur,-138.0
jaedabee,xtext-gradle-test,0
MassiBelaid,M-langeuse-Xtext,-6.0
qxe35v,xtext_encoding_dsl,-15.0
random-eclipse,nix-eclipse-xtext,0.0
meta-doodle,Xtext_Gradle_Test,-5.0
