Owner,Repo,Forks Count,Stars Count
waynepiekarski,XTextureExtractor,14,26
TypeFox,theia-xtext-sprotty-example,28,68
altran-mde,xtext-sirius-integration,6,21
graph-quilt,graphql-xtext,6,22
TypeFox,vscode-xtext-sprotty-example,10,13
eclipse,xtext-website,13,2
intuit,common-xtext-expression-language,7,7
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,6,9
resloved,xtext,2,8
lurenzhangdeshuai,EmojiText-XText,3,7
kuniss,xtext-ide-extensions,3,6
graph-quilt,xtext-service-dsl,2,10
btc-ag,service-idl,8,8
eventB-Soton,XUML_B,4,0
Minres,CoreDSL,2,8
TypeFox,xtext2langium,1,5
v-bashev,post_core,3,1
NielsLiisberg,RPG-lexer,0,6
OpenSextant,XText,1,4
laubfall,jugh-xtext-arkanoid,0,6
khabdrick,LambdaXtextract,0,5
bsati,mgpl-xtext,2,1
UnBCIC-TP2,Oberon-XText,2,0
TopXDevTeam,TopXTextUI,0,6
ngreve,xtext_web,1,4
nmaoez,composer-language-server,0,0
FAMILIAR-project,xtext-dsl-compiler-example,2,1
eventB-Soton,XTheory,2,0
program-in-chinese,xtext_tutorial_15_min_zh,0,5
code-kontor,openCypher-Xtext,1,4
eclipse,epsilon,11,38
UnBCIC-TP2,Oberon-IDE,2,0
idiomaticsoft,xtext-tips,0,3
atb,pt.isep.dsl.puml,0,3
Webastronaut,mgpl,2,1
PAMunb,MetaCrySL,1,2
raghvendra-v,tosca-yaml-lsp,1,3
zxhr,gradle-xtext-generator,1,2
tmtron,ex.xtext.lsp,0,2
echebbi,standalone-xtext-example,1,2
darvasd,xtext-docs-gen,1,2
jcabot,WordPress-Plugin-DSL,0,4
JensBAndersen,PolicyLanguage,0,0
Zannith,XtextTest,0,0
AnnaLenaMeiners,XtextExamples,0,0
Kerolos77,XTextEditor,0,0
Mabar16,xtextMath,0,0
holgerschill,xtextCodebuff,1,0
devzwy,XTextView,0,0
mraminella,XtextExamples,0,0
msntts,XtextStudy,0,0
chiachong,XTextClassification,0,0
vinisbranco,XtextGerador,0,0
pakhopav,XtextPlugin,0,0
IamRaziel,XtextTutorial,0,1
dstoft,XtextWorkspace,0,0
MisbahAwan,XtextCollaborativeEnvironment,0,0
pakhopav,XtextLanguage,0,0
fonuhuolian,XTextView,0,0
RomainLefeuvre,xtextHW,0,0
BestCoderXQX,XTextFlagDemo,0,1
vinisbranco,XtextTrabalho2,0,0
loicperreal,Xtext,0,0
goflyboy,xtextsample,0,0
SharkJ,XtextInheritanceTest,0,0
hewenyuAndroid,XTextView-Android,0,0
OLibutzki,XtextExtras446,0,0
