login,repo,created_date,category
NielsLiisberg,RPG-lexer,12/3/2019,Business and Enterprise Applications
UnBCIC-TP2,Oberon-IDE,5/19/2021,Programming Languages
Mabar16,xtextMath,3/22/2020,"Mathematics, Logic, and Scientific Computing"
MISO4202,co.edu.uniandes.gramaticajmeter,3/29/2019,Testing and Verification
preesm,ripacola-xtext,4/29/2019,"IoT, Embedded Systems, and Hardware"
GiordanoT,ocl-xtext,11/30/2022,"Modeling, Simulation, and Design"
pen-zhang,xtext_elm_editor,12/27/2020,Graphical User Interfaces (GUI)
ravornyo,xspice,3/13/2022,"IoT, Embedded Systems, and Hardware"
urbanoanderson,xtext-gait-model,2/20/2019,Healthcare and Life Sciences
HermanPeeren,eJSL-ANTLR4,12/2/2021,"Content, Information and Document Management"
cau-se,sprat-ecosystem-dsl-xtext,7/19/2019,"Mathematics, Logic, and Scientific Computing"
raptor494,Xtext-Minecraft-JSON-Languages,4/11/2020,Games
SuelanyBrito,JFlex_CUP_XText_SQL,11/18/2020,Data Management and Databases
tshoang,Simple-Barebone-XText-based-IDE,10/23/2020,Programming Languages
MISO4202,xtext-egl-sql2java,2/15/2019,Data Management and Databases
oliverablagojevic,QuestionnaireDSL,7/16/2020,Questionnaire
hvbargen,meth,4/18/2022,"Content, Information and Document Management"
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,6/19/2018,"IoT, Embedded Systems, and Hardware"
ElBilbao,DSL-Wizard-Creator,8/31/2020,Graphical User Interfaces (GUI)
ScytherTool,dsl,5/22/2023,Security and Networking
uqbar-project,xtext-tortuga-lang,6/6/2015,Programming Languages
gvd,xtext-sm,3/4/2012,Programming Languages
meysholdt,e4dsl,7/2/2010,Software Development and Engineering
akademia,ontouml-xtext,3/1/2011,Software Development and Engineering
pablitar,firewall-xtext,6/26/2013,Security and Networking
sahrmann,xtext-json,8/8/2017,Data Management and Databases
santoshdeshpande,wwf-xtext,7/19/2011,Software Development and Engineering
t-buss,mgpl_xtext,1/18/2017,Games
kuniss,Aqua,12/25/2014,Programming Languages
Scholvac,EclipseTaskJuggler,8/3/2015,Miscellaneous
rainerschuster,sygus-ide,8/20/2016,Software Development and Engineering
Communote,communote-restws,6/27/2016,"Cloud, APIs, and Web Services"
JoostvanPinxten,SDF3-editor,2/24/2015,"Modeling, Simulation, and Design"
atanaka,experimental-rmodp-dsl,5/13/2012,Software Development and Engineering
leolimasa,reqlang,7/14/2014,Software Development and Engineering
helunwencser,PAOC,12/24/2014,"Modeling, Simulation, and Design"
rainerschuster,tlsf-ide,8/21/2016,"Mathematics, Logic, and Scientific Computing"
rainerschuster,asdl-ide,5/3/2017,Programming Languages
marcusphi,polopoly-dsl,4/28/2012,"Content, Information and Document Management"
stolorz,RankPL-EclipsePlugin,3/31/2017,"Modeling, Simulation, and Design"
abieren,MDSD-Xtext-Project-for-JavaFX,1/18/2020,Graphical User Interfaces (GUI)
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,4/13/2021,Data Management and Databases
uqbar-paco,firewall-dsls-externos-xtext,11/22/2013,Security and Networking
Mehdi23,FlexoModelingLanguage,7/20/2013,"Modeling, Simulation, and Design"
sbrocard,statemachine-generator,3/2/2015,"Modeling, Simulation, and Design"
Webastronaut,mgpl,2/5/2019,Games
magick93,xtext,2/12/2019,"Modeling, Simulation, and Design"
blue995,xtext-orm,6/20/2018,Data Management and Databases
katmatt,graphql-xtext,11/2/2020,Data Management and Databases
HouseBuilder-MDE,HouseBuilder-Xtext,7/15/2021,"Modeling, Simulation, and Design"
coffeeframework,HLVL,10/7/2020,"Modeling, Simulation, and Design"
bogdanvuk,xvhdl,8/4/2015,"IoT, Embedded Systems, and Hardware"
jonev,HTTP-REST-test-DSL,12/6/2020,Testing and Verification
