login,repo_name,file_path,is_Xtext,is_Ecore,is_Instance,commit_time,commit_message,Person,Evolved helper,Evolved?,Cause of Evolution,Classification
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\model\generated\Rpgle.ecore,,YES,,,first version,Regina,no,no,,
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,YES,,,,Fix gramma,Regina,yes,interated,"not real evolution, but iteration in initial development",
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,YES,,,,Fix gramma,Regina,yes,interated,"not real evolution, but iteration in initial development",
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,YES,,,,first version,Regina,no,no,,
UnBCIC-TP2,Oberon-IDE,E:/xtext_repos_clone_new\UnBCIC-TP2_Oberon-IDE\br.unb.cic.obron.ide\model\generated\Oberon.ecore,,YES,,,integration between XText and the Oberon implementation,Regina,no,no,,
UnBCIC-TP2,Oberon-IDE,E:/xtext_repos_clone_new\UnBCIC-TP2_Oberon-IDE\br.unb.cic.obron.ide\src\br\unb\cic\obron\ide\Oberon.xtext,YES,,,,integration between XText and the Oberon implementation,Regina,no,no,,
Mabar16,xtextMath,E:/xtext_repos_clone_new\Mabar16_xtextMath\sdu.mdsd.mathinterpreter\src\sdu\mdsd\Mathinterpreter.xtext,YES,,,,Hovering,Regina,no,no,,
MISO4202,co.edu.uniandes.gramaticajmeter,E:/xtext_repos_clone_new\MISO4202_co.edu.uniandes.gramaticajmeter\co.edu.uniandes.gramaticajmeter\model\generated\Gramaticajmeter.ecore,,YES,,,First version,Regina,no,no,,
MISO4202,co.edu.uniandes.gramaticajmeter,E:/xtext_repos_clone_new\MISO4202_co.edu.uniandes.gramaticajmeter\co.edu.uniandes.gramaticajmeter\src\co\edu\uniandes\Gramaticajmeter.xtext,YES,,,,First version,Regina,no,no,,
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola\src\org\ripacola\lang\Ripacola.xtext,YES,,,,Update grammar,Regina,yes,yes,"update of grammar, unclear reason",
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola\src\org\ripacola\lang\Ripacola.xtext,YES,,,,Initial commit,Regina,no,no,,
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple1.rip,,,YES,,Initial commit,Regina,no,no,,
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple2.rip,,,YES,,Initial commit,Regina,no,no,,
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple3.rip,,,YES,,Initial commit,Regina,no,no,,
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\sobel.rip,,,YES,,Initial commit,Regina,no,no,,
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\model\generated\Ocl.ecore,,YES,,,upload,Regina,no,no,,
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\src\org\xtext\ocl\Ocl.xtext,YES,,,,upload,Regina,no,no,,
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\target\classes\org\xtext\ocl\Ocl.xtext,YES,,,,upload,Regina,no,no,,
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\model\generated\XSpice.ecore,,YES,,,First commit,Regina,no,no,,
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\src\com\xtext\ravornyo\xspice\XSpice.xtext,YES,,,,First commit,Regina,no,no,,
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\target\classes\com\xtext\ravornyo\xspice\XSpice.xtext,YES,,,,First commit,Regina,no,no,,
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante\model\generated\Prescription.ecore,,YES,,,Initial commit,Regina,no,no,,
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante\src\org\xtext\example\avante\Prescription.xtext,YES,,,,Initial commit,Regina,no,no,,
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante.generator\src\model\test.presc,,,YES,,Initial commit,Regina,no,no,,
cau-se,sprat-ecosystem-dsl-xtext,E:/xtext_repos_clone_new\cau-se_sprat-ecosystem-dsl-xtext\org.sprat.ecosystem\model\generated\Ecosystem.ecore,,YES,,,init,Regina,no,no,,
cau-se,sprat-ecosystem-dsl-xtext,E:/xtext_repos_clone_new\cau-se_sprat-ecosystem-dsl-xtext\org.sprat.ecosystem\src\org\sprat\ecosystem\Ecosystem.xtext,YES,,,,init,Regina,no,no,,
raptor494,Xtext-Minecraft-JSON-Languages,E:/xtext_repos_clone_new\raptor494_Xtext-Minecraft-JSON-Languages\com.raptor.mcblockstate\model\generated\Mcblockstate.ecore,,YES,,,Initial commit,Regina,no,no,,
