login,repo_name,file_path,is_Xtext,is_Ecore,is_Instance,commit_time,commit_message
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\model\generated\Rpgle.ecore,,Yes,,,[2019-12-03T10:55:33+01:00] first version
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,Yes,,,,[2019-12-03T10:55:33+01:00] first version
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,Yes,,,,[2019-12-03T11:28:03+01:00] Fix gramma
NielsLiisberg,RPG-lexer,E:/xtext_repos_clone_new\NielsLiisberg_RPG-lexer\org.sitemule.rpglanguage.rpgle\src\org\sitemule\rpglanguage\Rpgle.xtext,Yes,,,,[2019-12-03T11:30:04+01:00] Fix gramma
UnBCIC-TP2,Oberon-IDE,E:/xtext_repos_clone_new\UnBCIC-TP2_Oberon-IDE\br.unb.cic.obron.ide\model\generated\Oberon.ecore,,Yes,,,[2021-05-19T15:20:26-03:00] integration between XText and the Oberon implementation
UnBCIC-TP2,Oberon-IDE,E:/xtext_repos_clone_new\UnBCIC-TP2_Oberon-IDE\br.unb.cic.obron.ide\src\br\unb\cic\obron\ide\Oberon.xtext,Yes,,,,[2021-05-19T15:20:26-03:00] integration between XText and the Oberon implementation
Mabar16,xtextMath,E:/xtext_repos_clone_new\Mabar16_xtextMath\sdu.mdsd.mathinterpreter\src\sdu\mdsd\Mathinterpreter.xtext,Yes,,,,[2020-03-22T19:46:19+01:00] Hovering
MISO4202,co.edu.uniandes.gramaticajmeter,E:/xtext_repos_clone_new\MISO4202_co.edu.uniandes.gramaticajmeter\co.edu.uniandes.gramaticajmeter\model\generated\Gramaticajmeter.ecore,,Yes,,,[2019-03-29T18:25:53-05:00] First version
MISO4202,co.edu.uniandes.gramaticajmeter,E:/xtext_repos_clone_new\MISO4202_co.edu.uniandes.gramaticajmeter\co.edu.uniandes.gramaticajmeter\src\co\edu\uniandes\Gramaticajmeter.xtext,Yes,,,,[2019-03-29T18:25:53-05:00] First version
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola\src\org\ripacola\lang\Ripacola.xtext,Yes,,,,[2019-04-29T14:59:38+02:00] Initial commit
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola\src\org\ripacola\lang\Ripacola.xtext,Yes,,,,[2019-04-29T17:10:14+02:00] Update grammar
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple1.rip,,,Yes,,[2019-04-29T14:59:38+02:00] Initial commit
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple2.rip,,,Yes,,[2019-04-29T14:59:38+02:00] Initial commit
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\simple3.rip,,,Yes,,[2019-04-29T14:59:38+02:00] Initial commit
preesm,ripacola-xtext,E:/xtext_repos_clone_new\preesm_ripacola-xtext\org.ripacola.parent\org.ripacola.tests\resources\sobel.rip,,,Yes,,[2019-04-29T14:59:38+02:00] Initial commit
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\model\generated\Ocl.ecore,,Yes,,,[2022-11-30T15:12:32+01:00] upload
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\src\org\xtext\ocl\Ocl.xtext,Yes,,,,[2022-11-30T15:12:32+01:00] upload
GiordanoT,ocl-xtext,E:/xtext_repos_clone_new\GiordanoT_ocl-xtext\org.xtext.ocl.parent\org.xtext.ocl\target\classes\org\xtext\ocl\Ocl.xtext,Yes,,,,[2022-11-30T15:12:32+01:00] upload
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\model\generated\XSpice.ecore,,Yes,,,[2022-03-13T13:48:53-04:00] First commit
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\src\com\xtext\ravornyo\xspice\XSpice.xtext,Yes,,,,[2022-03-13T13:48:53-04:00] First commit
ravornyo,xspice,E:/xtext_repos_clone_new\ravornyo_xspice\com.xtext.ravornyo.xspice\target\classes\com\xtext\ravornyo\xspice\XSpice.xtext,Yes,,,,[2022-03-13T13:48:53-04:00] First commit
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante\model\generated\Prescription.ecore,,Yes,,,[2019-02-20T11:16:19-03:00] Initial commit
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante\src\org\xtext\example\avante\Prescription.xtext,Yes,,,,[2019-02-20T11:16:19-03:00] Initial commit
urbanoanderson,xtext-gait-model,E:/xtext_repos_clone_new\urbanoanderson_xtext-gait-model\org.xtext.example.avante.generator\src\model\test.presc,,,Yes,,[2019-02-20T11:16:19-03:00] Initial commit
cau-se,sprat-ecosystem-dsl-xtext,E:/xtext_repos_clone_new\cau-se_sprat-ecosystem-dsl-xtext\org.sprat.ecosystem\model\generated\Ecosystem.ecore,,Yes,,,[2019-07-19T08:44:19+02:00] init
cau-se,sprat-ecosystem-dsl-xtext,E:/xtext_repos_clone_new\cau-se_sprat-ecosystem-dsl-xtext\org.sprat.ecosystem\src\org\sprat\ecosystem\Ecosystem.xtext,Yes,,,,[2019-07-19T08:44:19+02:00] init
raptor494,Xtext-Minecraft-JSON-Languages,E:/xtext_repos_clone_new\raptor494_Xtext-Minecraft-JSON-Languages\com.raptor.mcblockstate\model\generated\Mcblockstate.ecore,,Yes,,,[2020-04-11T17:06:15-07:00] Initial commit
raptor494,Xtext-Minecraft-JSON-Languages,E:/xtext_repos_clone_new\raptor494_Xtext-Minecraft-JSON-Languages\com.raptor.mcblockstate\src\com\raptor\mcblockstate\Mcblockstate.xtext,Yes,,,,[2020-04-11T17:06:15-07:00] Initial commit
raptor494,Xtext-Minecraft-JSON-Languages,E:/xtext_repos_clone_new\raptor494_Xtext-Minecraft-JSON-Languages\com.raptor.mcentity\model\generated\MCEntity.ecore,,Yes,,,[2020-04-11T17:06:15-07:00] Initial commit
raptor494,Xtext-Minecraft-JSON-Languages,E:/xtext_repos_clone_new\raptor494_Xtext-Minecraft-JSON-Languages\com.raptor.mcentity\src\com\raptor\mcentity\MCEntity.xtext,Yes,,,,[2020-04-11T17:06:15-07:00] Initial commit
