Owner,Repo,Ecore File,Containing Folder
waynepiekarski,XTextureExtractor,not applicable,not applicable
TypeFox,theia-xtext-sprotty-example,not applicable,not applicable
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.diagram/model/diagramxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.eef/model/eefxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.properties/model/propertiesxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.viewpoint/model/viewpointxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.xtext/model/xtextsirius.ecore,model
altran-mde,xtext-sirius-integration,demo/com.example.classes/model/generated/Classes.ecore,generated
altran-mde,xtext-sirius-integration,demo/nl.altran.example.xtext.html/model/generated/HtmlLang.ecore,generated
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl/model/generated/Statemachine.ecore,generated
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.model.test/model/XtextSiriusTest.ecore,model
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.ekeylang/model/EKeyLang.ecore,model
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/model/generated/RefLang.ecore,generated
graph-quilt,graphql-xtext,not applicable,not applicable
waynepiekarski,XTextureExtractor,not applicable,not applicable
waynepiekarski,XTextureExtractor,not applicable,not applicable
TypeFox,theia-xtext-sprotty-example,not applicable,not applicable
TypeFox,theia-xtext-sprotty-example,not applicable,not applicable
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.diagram/model/diagramxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.eef/model/eefxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.properties/model/propertiesxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.viewpoint/model/viewpointxtext.ecore,model
altran-mde,xtext-sirius-integration,code/com.altran.general.integration.xtextsirius.model.xtext/model/xtextsirius.ecore,model
altran-mde,xtext-sirius-integration,demo/com.example.classes/model/generated/Classes.ecore,generated
altran-mde,xtext-sirius-integration,demo/nl.altran.example.xtext.html/model/generated/HtmlLang.ecore,generated
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl/model/generated/Statemachine.ecore,generated
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.model.test/model/XtextSiriusTest.ecore,model
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.ekeylang/model/EKeyLang.ecore,model
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/model/generated/RefLang.ecore,generated
graph-quilt,graphql-xtext,not applicable,not applicable
graph-quilt,graphql-xtext,not applicable,not applicable
TypeFox,vscode-xtext-sprotty-example,not applicable,not applicable
TypeFox,vscode-xtext-sprotty-example,not applicable,not applicable
eclipse,xtext-website,not applicable,not applicable
eclipse,xtext-website,not applicable,not applicable
intuit,common-xtext-expression-language,not applicable,not applicable
intuit,common-xtext-expression-language,not applicable,not applicable
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.customgreetings.parent/org.example.customgreetings/model/custom/Greetings.ecore,custom
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.school.parent/org.example.school.model/model/School.ecore,model
resloved,xtext,not applicable,not applicable
resloved,xtext,not applicable,not applicable
lurenzhangdeshuai,EmojiText-XText,not applicable,not applicable
lurenzhangdeshuai,EmojiText-XText,not applicable,not applicable
kuniss,xtext-ide-extensions,not applicable,not applicable
kuniss,xtext-ide-extensions,not applicable,not applicable
graph-quilt,xtext-service-dsl,not applicable,not applicable
graph-quilt,xtext-service-dsl,not applicable,not applicable
btc-ag,service-idl,not applicable,not applicable
btc-ag,service-idl,not applicable,not applicable
eventB-Soton,XUML_B,not applicable,not applicable
eventB-Soton,XUML_B,not applicable,not applicable
Minres,CoreDSL,not applicable,not applicable
Minres,CoreDSL,not applicable,not applicable
TypeFox,xtext2langium,not applicable,not applicable
TypeFox,xtext2langium,not applicable,not applicable
v-bashev,post_core,not applicable,not applicable
v-bashev,post_core,not applicable,not applicable
NielsLiisberg,RPG-lexer,org.sitemule.rpglanguage.rpgle/model/generated/Rpgle.ecore,generated
OpenSextant,XText,not applicable,not applicable
OpenSextant,XText,not applicable,not applicable
laubfall,jugh-xtext-arkanoid,arkanoid3d.dsl.parent/arkanoid3d.dsl/model/generated/ArkanoidDsl.ecore,generated
khabdrick,LambdaXtextract,not applicable,not applicable
khabdrick,LambdaXtextract,not applicable,not applicable
bsati,mgpl-xtext,not applicable,not applicable
bsati,mgpl-xtext,not applicable,not applicable
UnBCIC-TP2,Oberon-XText,org.unb.grupo10.oberon/model/generated/Oberon.ecore,generated
TopXDevTeam,TopXTextUI,not applicable,not applicable
TopXDevTeam,TopXTextUI,not applicable,not applicable
ngreve,xtext_web,not applicable,not applicable
ngreve,xtext_web,not applicable,not applicable
nmaoez,composer-language-server,not applicable,not applicable
nmaoez,composer-language-server,not applicable,not applicable
FAMILIAR-project,xtext-dsl-compiler-example,not applicable,not applicable
FAMILIAR-project,xtext-dsl-compiler-example,not applicable,not applicable
eventB-Soton,XTheory,ac.soton.xtheory.emf.core/model/theoryextension.ecore,model
program-in-chinese,xtext_tutorial_15_min_zh,com.program_in_chinese.quan6/model/generated/Quan6.ecore,generated
program-in-chinese,xtext_tutorial_15_min_zh,org.example.mydsl/model/generated/Domainmodel.ecore,generated
code-kontor,openCypher-Xtext,not applicable,not applicable
code-kontor,openCypher-Xtext,not applicable,not applicable
eclipse,epsilon,not applicable,not applicable
eclipse,epsilon,not applicable,not applicable
UnBCIC-TP2,Oberon-IDE,br.unb.cic.obron.ide/model/generated/Oberon.ecore,generated
idiomaticsoft,xtext-tips,custom-code/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/model/Block.ecore,model
idiomaticsoft,xtext-tips,custom-code/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/model/Block.ecore,model
idiomaticsoft,xtext-tips,migrate-to-emf-model/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/model/Block.ecore,model
atb,pt.isep.dsl.puml,not applicable,not applicable
atb,pt.isep.dsl.puml,not applicable,not applicable
Webastronaut,mgpl,workspace/mgpl/model/generated/MGPL.ecore,generated
PAMunb,MetaCrySL,not applicable,not applicable
PAMunb,MetaCrySL,not applicable,not applicable
raghvendra-v,tosca-yaml-lsp,not applicable,not applicable
raghvendra-v,tosca-yaml-lsp,not applicable,not applicable
zxhr,gradle-xtext-generator,not applicable,not applicable
zxhr,gradle-xtext-generator,not applicable,not applicable
tmtron,ex.xtext.lsp,not applicable,not applicable
tmtron,ex.xtext.lsp,not applicable,not applicable
echebbi,standalone-xtext-example,org.xtext.example.mydsl.parent/org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
darvasd,xtext-docs-gen,examples/org.example.domainmodel/model/generated/Domainmodel.ecore,generated
jcabot,WordPress-Plugin-DSL,not applicable,not applicable
jcabot,WordPress-Plugin-DSL,not applicable,not applicable
JensBAndersen,PolicyLanguage,not applicable,not applicable
JensBAndersen,PolicyLanguage,not applicable,not applicable
Zannith,XtextTest,not applicable,not applicable
Zannith,XtextTest,not applicable,not applicable
AnnaLenaMeiners,XtextExamples,not applicable,not applicable
AnnaLenaMeiners,XtextExamples,not applicable,not applicable
Kerolos77,XTextEditor,not applicable,not applicable
Kerolos77,XTextEditor,not applicable,not applicable
Mabar16,xtextMath,not applicable,not applicable
Mabar16,xtextMath,not applicable,not applicable
holgerschill,xtextCodebuff,not applicable,not applicable
holgerschill,xtextCodebuff,not applicable,not applicable
devzwy,XTextView,not applicable,not applicable
devzwy,XTextView,not applicable,not applicable
mraminella,XtextExamples,org.example.expressions/model/generated/Expressions.ecore,generated
mraminella,XtextExamples,org.xtext.example.smalljava/model/generated/SmallJava.ecore,generated
msntts,XtextStudy,crossref_sample/crossref/org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
chiachong,XTextClassification,not applicable,not applicable
chiachong,XTextClassification,not applicable,not applicable
vinisbranco,XtextGerador,not applicable,not applicable
vinisbranco,XtextGerador,not applicable,not applicable
pakhopav,XtextPlugin,not applicable,not applicable
pakhopav,XtextPlugin,not applicable,not applicable
IamRaziel,XtextTutorial,not applicable,not applicable
IamRaziel,XtextTutorial,not applicable,not applicable
dstoft,XtextWorkspace,sdu.mdsd.math.interpreter/model/generated/MathInterpreter.ecore,generated
dstoft,XtextWorkspace,sdu.mdsd.tut1/model/generated/Tut1Dsl.ecore,generated
MisbahAwan,XtextCollaborativeEnvironment,not applicable,not applicable
MisbahAwan,XtextCollaborativeEnvironment,not applicable,not applicable
pakhopav,XtextLanguage,not applicable,not applicable
pakhopav,XtextLanguage,not applicable,not applicable
fonuhuolian,XTextView,not applicable,not applicable
fonuhuolian,XTextView,not applicable,not applicable
RomainLefeuvre,xtextHW,not applicable,not applicable
RomainLefeuvre,xtextHW,not applicable,not applicable
BestCoderXQX,XTextFlagDemo,not applicable,not applicable
BestCoderXQX,XTextFlagDemo,not applicable,not applicable
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/model/generated/Domainmodel.ecore,generated
loicperreal,Xtext,not applicable,not applicable
loicperreal,Xtext,not applicable,not applicable
goflyboy,xtextsample,not applicable,not applicable
goflyboy,xtextsample,not applicable,not applicable
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/model/generated/MyDsl2.ecore,generated
hewenyuAndroid,XTextView-Android,not applicable,not applicable
hewenyuAndroid,XTextView-Android,not applicable,not applicable
OLibutzki,XtextExtras446,de.libutzki.xtextextras446.parent/de.libutzki.xtextextras446/model/generated/XtextExtras446.ecore,generated
vinisbranco,XtextJavaScript,not applicable,not applicable
vinisbranco,XtextJavaScript,not applicable,not applicable
AndreasGroentved,XtextDSL2018,groupDSL/model/generated/WPage.ecore,generated
robertchristen,XTextCategorizer.Demo,not applicable,not applicable
robertchristen,XTextCategorizer.Demo,not applicable,not applicable
alvarofpp,tutorial-xtext,not applicable,not applicable
alvarofpp,tutorial-xtext,not applicable,not applicable
