waynepiekarski,XTextureExtractor,0,0,0
TypeFox,theia-xtext-sprotty-example,1,1,1.0
altran-mde,xtext-sirius-integration,10,29,2.9
graph-quilt,graphql-xtext,0,0,0
TypeFox,vscode-xtext-sprotty-example,1,1,1.0
eclipse,xtext-website,0,0,0
intuit,common-xtext-expression-language,0,0,0
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,7,7,1.0
resloved,xtext,0,0,0
lurenzhangdeshuai,EmojiText-XText,0,0,0
kuniss,xtext-ide-extensions,1,4,4.0
graph-quilt,xtext-service-dsl,7,7,1.0
btc-ag,service-idl,47,73,1.55
eventB-Soton,XUML_B,0,0,0
Minres,CoreDSL,5,10,2.0
TypeFox,xtext2langium,0,0,0
v-bashev,post_core,2,2,1.0
NielsLiisberg,RPG-lexer,0,0,0
OpenSextant,XText,0,0,0
laubfall,jugh-xtext-arkanoid,4,9,2.25
khabdrick,LambdaXtextract,0,0,0
bsati,mgpl-xtext,2,2,1.0
UnBCIC-TP2,Oberon-XText,122,122,1.0
TopXDevTeam,TopXTextUI,0,0,0
ngreve,xtext_web,0,0,0
nmaoez,composer-language-server,0,0,0
FAMILIAR-project,xtext-dsl-compiler-example,0,0,0
eventB-Soton,XTheory,0,0,0
program-in-chinese,xtext_tutorial_15_min_zh,4,4,1.0
code-kontor,openCypher-Xtext,0,0,0
eclipse,epsilon,1,2,2.0
UnBCIC-TP2,Oberon-IDE,0,0,0
idiomaticsoft,xtext-tips,1,1,1.0
atb,pt.isep.dsl.puml,0,0,0
Webastronaut,mgpl,2,2,1.0
PAMunb,MetaCrySL,152,215,1.41
raghvendra-v,tosca-yaml-lsp,1,2,2.0
zxhr,gradle-xtext-generator,0,0,0
tmtron,ex.xtext.lsp,1,1,1.0
echebbi,standalone-xtext-example,1,1,1.0
darvasd,xtext-docs-gen,0,0,0
jcabot,WordPress-Plugin-DSL,1,2,2.0
JensBAndersen,PolicyLanguage,0,0,0
Zannith,XtextTest,0,0,0
AnnaLenaMeiners,XtextExamples,0,0,0
Kerolos77,XTextEditor,0,0,0
Mabar16,xtextMath,0,0,0
holgerschill,xtextCodebuff,0,0,0
devzwy,XTextView,0,0,0
mraminella,XtextExamples,0,0,0
msntts,XtextStudy,1,1,1.0
chiachong,XTextClassification,0,0,0
vinisbranco,XtextGerador,0,0,0
pakhopav,XtextPlugin,0,0,0
IamRaziel,XtextTutorial,0,0,0
dstoft,XtextWorkspace,0,0,0
MisbahAwan,XtextCollaborativeEnvironment,0,0,0
pakhopav,XtextLanguage,0,0,0
fonuhuolian,XTextView,0,0,0
RomainLefeuvre,xtextHW,0,0,0
BestCoderXQX,XTextFlagDemo,0,0,0
vinisbranco,XtextTrabalho2,2,2,1.0
loicperreal,Xtext,0,0,0
goflyboy,xtextsample,0,0,0
SharkJ,XtextInheritanceTest,0,0,0
hewenyuAndroid,XTextView-Android,0,0,0
OLibutzki,XtextExtras446,1,1,1.0
vinisbranco,XtextJavaScript,0,0,0
AndreasGroentved,XtextDSL2018,0,0,0
robertchristen,XTextCategorizer.Demo,0,0,0
alvarofpp,tutorial-xtext,2,2,1.0
pakhopav,XtextLanguageGradle,0,0,0
pakhopav,xtext,0,0,0
adamhorvath88,Xtext,0,0,0
0xMYsteRy,Xtext,6,6,1.0
taylorlohan,XtextHealth2.0,0,0,0
Caroline66666,xtext,0,0,0
xuxiaowen87,XText,0,0,0
MisbahAwan,xtext,0,0,0
ichxorya,failed-xtext2vscode-example,1,1,1.0
hwong23,dsl.evtool,0,0,0
RobMoloney,xtext,0,0,0
l1ppe,xtext,0,0,0
madhouni,wps-ecore-ocl-xtext,0,0,0
MISO4202,uniandes.mdd.xtext2xmi,0,0,0
tchebs,xtext,0,0,0
mlopez8621,xtext,0,0,0
magick93,xtext,0,0,0
ShivaniBali,Theia-Xtext-Yangster-Project-,2,2,1.0
ehah,XtendExample,0,0,0
MISO4202,co.edu.uniandes.gramaticajmeter,0,0,0
vks2106,prenum,0,0,0
drkstr101,hello-xtext,1,1,1.0
arthurmosley,Essex-Test,0,0,0
eclipse,xtext-website-publish,0,0,0
jflopezfernandez,xtextutils,0,0,0
AlanQuadros,xtextlpmangan,0,0,0
jonaslagoni,JSON-Schema-to-internal-DSL,1,1,1.0
OezzyB,e-portfolio-Xtext,0,0,0
fedorov-vk,apds_dsl,0,0,0
zinon,xtextminer,0,0,0
mustafa231,xtexteditor,0,0,0
MOSafely,xtextrepo,0,0,0
bproenca,mpti-dsl,0,0,0
LorenzoBettini,xtext-domain-model-guice-5,0,0,0
BlackBeltTechnology,karaf-features-eclipse-xtext,0,0,0
vashchenkov,xtext-samle,0,0,0
germono,FormXtext,0,0,0
Quingo,compiler_xtext,130,133,1.02
ShrawanBK,xtext_salestransaction,2,2,1.0
tshoang,XMarking,0,0,0
szschaler,henshin_xtext_adapter,0,0,0
hakimuga,BIP-language,0,0,0
adautofbn,pascal-xtext,0,0,0
efuentesp,Xtext-UCS,0,0,0
preesm,ripacola-xtext,4,4,1.0
wibeck,testXtext,0,0,0
msun68,xtext-examples,0,0,0
xTexturedxx,xTexturedxx,0,0,0
HexXText,HexXText,0,0,0
Gricel-lee,Xtext-Maven,0,0,0
kolchanov,org.xtext.example.mydsl.parent,0,0,0
kecksk0enig,vuc-xtext,1,1,1.0
EvdokimovMaks,xtext-expressions,0,0,0
Sorokatov,xtext-demo,0,0,0
uppaal-emf,uppaal-xtext,10,16,1.6
matheuslenke,Xtext-UML,0,0,0
r4mtor,xtext-talks,1,2,2.0
nbhusare,xtext-playground,0,0,0
kokostino,xtext_kokomodel,0,0,0
GiordanoT,ocl-xtext,0,0,0
dr-jam,ABL-XText,0,0,0
lahirugayanga,xtext-projection,0,0,0
daniel614,xtext-webapp,0,0,0
Spiderixius,DSLIndividualXtext,0,0,0
mdsd-team-1,photos-xtext,1,4,4.0
efuentesp,xtext-cobol,0,0,0
torosky,Libreria-Xtext,0,0,0
MaxiEckert,Xtext-example,2,2,1.0
as500,xtext-rpgle,0,0,0
JavierOramas,AudiXText,0,0,0
xtext,xtext-monorepo,1066,3992,3.74
vjordan,Xtext_browser,18,18,1.0
Yop-La,xtext_project,0,0,0
