login,repo,last_commit_date
waynepiekarski,XTextureExtractor,2023-09-07
TypeFox,theia-xtext-sprotty-example,2020-04-07
altran-mde,xtext-sirius-integration,2022-07-19
NielsLiisberg,RPG-lexer,2019-12-03
TypeFox,vscode-xtext-sprotty-example,2021-01-12
eclipse,xtext-website,2024-10-24
UnBCIC-TP2,Oberon-IDE,2021-05-20
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2023-01-30
resloved,xtext,2021-01-05
lurenzhangdeshuai,EmojiText-XText,2022-02-26
kuniss,xtext-ide-extensions,2020-10-19
Mabar16,xtextMath,2020-03-23
MISO4202,co.edu.uniandes.gramaticajmeter,2019-03-29
preesm,ripacola-xtext,2019-04-29
GiordanoT,ocl-xtext,2022-11-30
TypeFox,xtext2langium,2023-11-02
pen-zhang,xtext_elm_editor,2021-04-08
ravornyo,xspice,2022-03-13
OpenSextant,XText,2024-03-08
laubfall,jugh-xtext-arkanoid,2018-10-31
khabdrick,LambdaXtextract,2022-03-14
bsati,mgpl-xtext,2021-02-07
urbanoanderson,xtext-gait-model,2019-02-20
TopXDevTeam,TopXTextUI,2023-12-20
ngreve,xtext_web,2024-04-13
nmaoez,composer-language-server,0000-00-00
FAMILIAR-project,xtext-dsl-compiler-example,2020-11-03
HermanPeeren,eJSL-ANTLR4,2021-12-06
program-in-chinese,xtext_tutorial_15_min_zh,2018-01-22
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-12
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18
idiomaticsoft,xtext-tips,2022-05-16
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23
MISO4202,xtext-egl-sql2java,2019-02-15
oliverablagojevic,QuestionnaireDSL,2020-07-16
hvbargen,meth,2022-04-18
zxhr,gradle-xtext-generator,2020-11-17
tmtron,ex.xtext.lsp,2018-01-20
echebbi,standalone-xtext-example,2018-02-12
darvasd,xtext-docs-gen,2019-01-23
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19
ElBilbao,DSL-Wizard-Creator,2020-08-31
Zannith,XtextTest,0000-00-00
AnnaLenaMeiners,XtextExamples,2021-01-02
Kerolos77,XTextEditor,2021-01-04
ScytherTool,dsl,2023-05-23
holgerschill,xtextCodebuff,2018-10-18
devzwy,XTextView,2022-01-13
mraminella,XtextExamples,2018-05-31
msntts,XtextStudy,2021-09-05
chiachong,XTextClassification,2022-02-28
vinisbranco,XtextGerador,2018-08-31
pakhopav,XtextPlugin,2021-08-12
IamRaziel,XtextTutorial,2021-05-20
dstoft,XtextWorkspace,2021-03-18
MisbahAwan,XtextCollaborativeEnvironment,2023-12-28
pakhopav,XtextLanguage,2019-08-12
fonuhuolian,XTextView,2020-07-23
RomainLefeuvre,xtextHW,2021-11-24
BestCoderXQX,XTextFlagDemo,2018-06-26
vinisbranco,XtextTrabalho2,2018-09-05
loicperreal,Xtext,2019-01-22
goflyboy,xtextsample,2021-02-19
SharkJ,XtextInheritanceTest,2018-12-19
hewenyuAndroid,XTextView-Android,2018-12-19
OLibutzki,XtextExtras446,2019-06-17
vinisbranco,XtextJavaScript,2018-08-22
AndreasGroentved,XtextDSL2018,2018-05-15
robertchristen,XTextCategorizer.Demo,2020-05-03
alvarofpp,tutorial-xtext,2021-11-06
pakhopav,XtextLanguageGradle,2021-10-14
pakhopav,xtext,2019-08-08
adamhorvath88,Xtext,2021-02-14
0xMYsteRy,Xtext,2022-04-27
taylorlohan,XtextHealth2.0,2021-04-14
Caroline66666,xtext,2022-01-20
xuxiaowen87,XText,2020-04-24
MisbahAwan,xtext,2021-12-07
ichxorya,failed-xtext2vscode-example,2022-11-26
uqbar-project,xtext-tortuga-lang,2015-06-06
RobMoloney,xtext,2022-03-18
l1ppe,xtext,2019-07-02
madhouni,wps-ecore-ocl-xtext,2018-02-05
MISO4202,uniandes.mdd.xtext2xmi,2019-05-13
tchebs,xtext,2018-10-04
mlopez8621,xtext,2019-09-19
gvd,xtext-sm,2012-03-04
ShivaniBali,Theia-Xtext-Yangster-Project-,2018-03-13
ehah,XtendExample,2018-04-19
meysholdt,e4dsl,2010-07-02
vks2106,prenum,0000-00-00
drkstr101,hello-xtext,2020-06-09
arthurmosley,Essex-Test,2018-06-08
eclipse,xtext-website-publish,2024-09-19
jflopezfernandez,xtextutils,2019-02-21
AlanQuadros,xtextlpmangan,2018-03-23
akademia,ontouml-xtext,2011-03-01
OezzyB,e-portfolio-Xtext,2018-05-28
pablitar,firewall-xtext,2013-06-26
zinon,xtextminer,2020-08-26
mustafa231,xtexteditor,2021-01-05
MOSafely,xtextrepo,2022-04-05
sahrmann,xtext-json,2017-08-08
LorenzoBettini,xtext-domain-model-guice-5,2021-05-24
BlackBeltTechnology,karaf-features-eclipse-xtext,2022-03-22
vashchenkov,xtext-samle,2018-10-17
germono,FormXtext,2020-06-02
santoshdeshpande,wwf-xtext,2011-07-19
ShrawanBK,xtext_salestransaction,2022-02-06
t-buss,mgpl_xtext,2017-01-18
szschaler,henshin_xtext_adapter,2019-11-08
kuniss,Aqua,2014-12-25
Scholvac,EclipseTaskJuggler,2015-08-03
efuentesp,Xtext-UCS,2018-06-01
rainerschuster,sygus-ide,2016-08-21
wibeck,testXtext,2019-05-27
msun68,xtext-examples,2020-01-23
xTexturedxx,xTexturedxx,0000-00-00
HexXText,HexXText,2022-05-03
Gricel-lee,Xtext-Maven,2023-08-22
kolchanov,org.xtext.example.mydsl.parent,2020-02-20
Communote,communote-restws,2016-06-27
EvdokimovMaks,xtext-expressions,2019-12-12
Sorokatov,xtext-demo,2020-04-30
JoostvanPinxten,SDF3-editor,2015-02-24
atanaka,experimental-rmodp-dsl,2012-05-14
r4mtor,xtext-talks,2018-05-29
nbhusare,xtext-playground,2020-09-02
kokostino,xtext_kokomodel,2021-09-04
leolimasa,reqlang,2014-07-14
helunwencser,PAOC,2014-12-24
lahirugayanga,xtext-projection,2018-12-28
daniel614,xtext-webapp,2018-07-07
Spiderixius,DSLIndividualXtext,2018-05-28
rainerschuster,tlsf-ide,2016-08-21
rainerschuster,asdl-ide,2017-05-03
torosky,Libreria-Xtext,2018-02-22
MaxiEckert,Xtext-example,2018-05-27
as500,xtext-rpgle,2019-06-24
JavierOramas,AudiXText,2021-01-13
xtext,xtext-monorepo,2023-03-25
vjordan,Xtext_browser,2019-03-20
Yop-La,xtext_project,2019-03-20
JesterOrNot,Gitpod-XText,2020-05-19
eclipse,xtext-archive,2023-03-17
Lethalaric,xtext-learning,2023-08-01
DSIE2,tr.xtext,2018-06-27
ShivaniBali,Theia-Xtext,2018-03-13
kthoms,xtext-webinar,2018-06-18
jonathankoehn,entitygenerator,2017-04-18
zhanglin2018,learnXtext,2019-06-18
seebgar,Xtext-Projects,2020-02-27
marcusphi,polopoly-dsl,2012-04-28
AbQadirr,dialogXtextflow,2023-12-30
stolorz,RankPL-EclipsePlugin,2017-03-31
arockiaraj1994,xtext-mvn,2019-09-05
moein9,passXtext,2023-02-11
saivarunr,xtext-editor,2018-01-24
JesterOrNot,xtext-cli,2020-01-30
Somiacao,xtext-web,2020-01-03
abieren,MDSD-Xtext-Project-for-JavaFX,2020-01-20
LIONant-depot,xtexture_compiler,2021-10-13
tchebs,xtext-example,0000-00-00
ballcoach12,xtext_samples,2021-09-08
AssaX0,MDSE-xtext,2021-06-06
samples-projects,sample-xtext,2019-02-03
karthik137,xtext-demo,2020-05-13
MDE-Course-23-24,SIRIUS-XTEXT,2023-12-13
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2021-04-14
laurocesar,xtext-domainmodel,2021-05-14
Yahaya12,Xtext-project,2021-10-09
malhxr,SpeechXtext,2022-06-06
stanimirovv,xtext-extractor,2022-09-09
3m3k3,xtext-congen,2023-04-09
uqbar-paco,firewall-dsls-externos-xtext,2013-11-23
Mehdi23,FlexoModelingLanguage,2013-07-21
tmtron,ex.xtext.twog,2018-02-12
sbrocard,statemachine-generator,2015-03-03
Webastronaut,mgpl,2019-02-07
