owner,repo,total_files,total_commit_count,average_commit_count
waynepiekarski,XTextureExtractor,0,0,0
TypeFox,theia-xtext-sprotty-example,1,1,1
altran-mde,xtext-sirius-integration,8,13,1.625
graph-quilt,graphql-xtext,1,2,2
TypeFox,vscode-xtext-sprotty-example,1,1,1
eclipse,xtext-website,0,0,0
intuit,common-xtext-expression-language,1,1,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,12,12,1
resloved,xtext,0,0,0
lurenzhangdeshuai,EmojiText-XText,0,0,0
kuniss,xtext-ide-extensions,1,2,2
graph-quilt,xtext-service-dsl,1,1,1
btc-ag,service-idl,1,6,6
eventB-Soton,XUML_B,1,1,1
Minres,CoreDSL,1,7,7
TypeFox,xtext2langium,0,0,0
v-bashev,post_core,2,10,5
NielsLiisberg,RPG-lexer,1,1,1
OpenSextant,XText,0,0,0
laubfall,jugh-xtext-arkanoid,1,1,1
khabdrick,LambdaXtextract,0,0,0
bsati,mgpl-xtext,2,10,5
UnBCIC-TP2,Oberon-XText,2,2,1
TopXDevTeam,TopXTextUI,0,0,0
ngreve,xtext_web,0,0,0
nmaoez,composer-language-server,1,2,2
FAMILIAR-project,xtext-dsl-compiler-example,2,2,1
eventB-Soton,XTheory,1,3,3
program-in-chinese,xtext_tutorial_15_min_zh,2,2,1
code-kontor,openCypher-Xtext,1,2,2
eclipse,epsilon,2,2,1
UnBCIC-TP2,Oberon-IDE,1,1,1
idiomaticsoft,xtext-tips,22,22,1
atb,pt.isep.dsl.puml,1,1,1
Webastronaut,mgpl,1,1,1
PAMunb,MetaCrySL,1,4,4
raghvendra-v,tosca-yaml-lsp,1,2,2
zxhr,gradle-xtext-generator,0,0,0
tmtron,ex.xtext.lsp,1,1,1
echebbi,standalone-xtext-example,1,1,1
darvasd,xtext-docs-gen,2,3,1.5
jcabot,WordPress-Plugin-DSL,1,2,2
JensBAndersen,PolicyLanguage,0,0,0
Zannith,XtextTest,0,0,0
AnnaLenaMeiners,XtextExamples,0,0,0
Kerolos77,XTextEditor,0,0,0
Mabar16,xtextMath,0,0,0
holgerschill,xtextCodebuff,0,0,0
devzwy,XTextView,0,0,0
mraminella,XtextExamples,4,4,1
msntts,XtextStudy,2,2,1
chiachong,XTextClassification,0,0,0
vinisbranco,XtextGerador,0,0,0
pakhopav,XtextPlugin,0,0,0
IamRaziel,XtextTutorial,1,1,1
dstoft,XtextWorkspace,4,4,1
MisbahAwan,XtextCollaborativeEnvironment,4,4,1
pakhopav,XtextLanguage,0,0,0
fonuhuolian,XTextView,0,0,0
RomainLefeuvre,xtextHW,3,3,1
BestCoderXQX,XTextFlagDemo,0,0,0
vinisbranco,XtextTrabalho2,2,2,1
loicperreal,Xtext,0,0,0
goflyboy,xtextsample,0,0,0
SharkJ,XtextInheritanceTest,2,3,1.5
hewenyuAndroid,XTextView-Android,0,0,0
OLibutzki,XtextExtras446,1,1,1
vinisbranco,XtextJavaScript,0,0,0
AndreasGroentved,XtextDSL2018,1,1,1
robertchristen,XTextCategorizer.Demo,0,0,0
alvarofpp,tutorial-xtext,1,1,1
pakhopav,XtextLanguageGradle,0,0,0
pakhopav,xtext,0,0,0
adamhorvath88,Xtext,1,1,1
0xMYsteRy,Xtext,1,1,1
taylorlohan,XtextHealth2.0,0,0,0
Caroline66666,xtext,0,0,0
xuxiaowen87,XText,0,0,0
MisbahAwan,xtext,2,4,2
ichxorya,failed-xtext2vscode-example,1,1,1
hwong23,dsl.evtool,1,1,1
RobMoloney,xtext,10,10,1
l1ppe,xtext,1,1,1
madhouni,wps-ecore-ocl-xtext,0,0,0
MISO4202,uniandes.mdd.xtext2xmi,0,0,0
tchebs,xtext,2,2,1
mlopez8621,xtext,2,2,1
magick93,xtext,4,4,1
ShivaniBali,Theia-Xtext-Yangster-Project-,1,1,1
ehah,XtendExample,0,0,0
MISO4202,co.edu.uniandes.gramaticajmeter,2,2,1
vks2106,prenum,0,0,0
