Repository Name,MWE2 File Count,Found Extensions
waynepiekarski/XTextureExtractor,0,""
TypeFox/theia-xtext-sprotty-example,1,"sm"
altran-mde/xtext-sirius-integration,8,"classes,ekeylang,html,inlineClasses,reflang,reflang_edit,statemachine,statemachineInlineedit"
graph-quilt/graphql-xtext,1,"graphql,graphqlq,graphqls"
TypeFox/vscode-xtext-sprotty-example,1,"sm"
eclipse/xtext-website,0,""
intuit/common-xtext-expression-language,1,"expr"
PacktPublishing/Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,11,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
resloved/xtext,0,""
lurenzhangdeshuai/EmojiText-XText,0,""
kuniss/xtext-ide-extensions,1,"xtext"
graph-quilt/xtext-service-dsl,1,"service"
btc-ag/service-idl,1,"idl"
eventB-Soton/XUML_B,1,"umlbx"
Minres/CoreDSL,1,"core_desc"
TypeFox/xtext2langium,0,""
v-bashev/post_core,2,"post"
NielsLiisberg/RPG-lexer,1,"rpgle"
OpenSextant/XText,0,""
laubfall/jugh-xtext-arkanoid,1,"ark"
khabdrick/LambdaXtextract,0,""
bsati/mgpl-xtext,2,"mgpl"
UnBCIC-TP2/Oberon-XText,2,"oberon"
TopXDevTeam/TopXTextUI,0,""
ngreve/xtext_web,0,""
nmaoez/composer-language-server,1,"expression"
FAMILIAR-project/xtext-dsl-compiler-example,2,"mydsl1"
eventB-Soton/XTheory,1,"thy"
program-in-chinese/xtext_tutorial_15_min_zh,2,"mydsl,quan6"
code-kontor/openCypher-Xtext,1,"cypher"
eclipse/epsilon,2,"dmodel,evldsl"
UnBCIC-TP2/Oberon-IDE,1,"oberon"
idiomaticsoft/xtext-tips,22,"block,hello,hellogen,hex"
atb/pt.isep.dsl.puml,1,"puml"
Webastronaut/mgpl,1,"mgpl"
PAMunb/MetaCrySL,1,"config,mcsl,ref"
raghvendra-v/tosca-yaml-lsp,1,"yaml,yml"
zxhr/gradle-xtext-generator,0,""
tmtron/ex.xtext.lsp,1,"exdsl"
echebbi/standalone-xtext-example,1,"mydsl"
darvasd/xtext-docs-gen,1,"domain"
jcabot/WordPress-Plugin-DSL,1,"wpdsl"
JensBAndersen/PolicyLanguage,0,""
Zannith/XtextTest,0,""
AnnaLenaMeiners/XtextExamples,0,""
Kerolos77/XTextEditor,0,""
Mabar16/xtextMath,0,""
holgerschill/xtextCodebuff,0,""
devzwy/XTextView,0,""
mraminella/XtextExamples,4,"expressions,smalljava"
msntts/XtextStudy,2,"mydsl"
chiachong/XTextClassification,0,""
vinisbranco/XtextGerador,0,""
pakhopav/XtextPlugin,0,""
IamRaziel/XtextTutorial,1,"dmodel"
dstoft/XtextWorkspace,4,"mathint,tut1"
MisbahAwan/XtextCollaborativeEnvironment,4,"pkgdsl"
pakhopav/XtextLanguage,0,""
fonuhuolian/XTextView,0,""
RomainLefeuvre/xtextHW,3,"mydsl,mydsl1"
BestCoderXQX/XTextFlagDemo,0,""
vinisbranco/XtextTrabalho2,2,"dmodel"
loicperreal/Xtext,0,""
goflyboy/xtextsample,0,""
SharkJ/XtextInheritanceTest,2,"dsl,dsl2"
hewenyuAndroid/XTextView-Android,0,""
OLibutzki/XtextExtras446,1,"xe446"
vinisbranco/XtextJavaScript,0,""
AndreasGroentved/XtextDSL2018,1,"wpage"
robertchristen/XTextCategorizer.Demo,0,""
alvarofpp/tutorial-xtext,1,"dmodel"
pakhopav/XtextLanguageGradle,0,""
pakhopav/xtext,0,""
adamhorvath88/Xtext,1,"entities"
0xMYsteRy/Xtext,1,"dmodel"
