owner,repo,created_date,repo_type
waynepiekarski,XTextureExtractor,2018-02-11,original
TypeFox,theia-xtext-sprotty-example,2018-12-12,original
altran-mde,xtext-sirius-integration,2018-10-08,original
NielsLiisberg,RPG-lexer,2019-12-03,original
TypeFox,vscode-xtext-sprotty-example,2020-10-07,original
eclipse,xtext-website,2023-03-06,original
UnBCIC-TP2,Oberon-IDE,2021-05-19,original
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2019-05-10,original
resloved,xtext,2019-03-28,original
lurenzhangdeshuai,EmojiText-XText,2022-01-02,original
kuniss,xtext-ide-extensions,2019-02-23,original
Mabar16,xtextMath,2020-03-22,original
MISO4202,co.edu.uniandes.gramaticajmeter,2019-03-29,original
preesm,ripacola-xtext,2019-04-29,original
GiordanoT,ocl-xtext,2022-11-30,original
TypeFox,xtext2langium,2022-10-27,original
pen-zhang,xtext_elm_editor,2020-12-27,original
ravornyo,xspice,2022-03-13,original
OpenSextant,XText,2018-05-15,original
laubfall,jugh-xtext-arkanoid,2018-04-05,original
khabdrick,LambdaXtextract,2022-03-11,original
bsati,mgpl-xtext,2021-02-01,original
urbanoanderson,xtext-gait-model,2019-02-20,original
TopXDevTeam,TopXTextUI,2023-11-14,original
ngreve,xtext_web,2020-03-04,original
nmaoez,composer-language-server,ERROR,ERROR
FAMILIAR-project,xtext-dsl-compiler-example,2020-11-03,original
HermanPeeren,eJSL-ANTLR4,2021-12-02,original
program-in-chinese,xtext_tutorial_15_min_zh,2018-01-19,original
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19,original
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-11,original
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18,original
idiomaticsoft,xtext-tips,2022-03-17,original
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23,original
MISO4202,xtext-egl-sql2java,2019-02-15,original
oliverablagojevic,QuestionnaireDSL,2020-07-16,original
hvbargen,meth,2022-04-18,original
zxhr,gradle-xtext-generator,2020-05-31,original
tmtron,ex.xtext.lsp,2018-01-19,original
echebbi,standalone-xtext-example,2018-02-06,original
darvasd,xtext-docs-gen,2018-03-31,original
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19,original
ElBilbao,DSL-Wizard-Creator,2020-08-31,original
Zannith,XtextTest,2018-06-15,original
AnnaLenaMeiners,XtextExamples,2021-01-02,original
Kerolos77,XTextEditor,2021-01-04,original
ScytherTool,dsl,2023-05-22,original
holgerschill,xtextCodebuff,2018-10-18,original
devzwy,XTextView,2022-01-13,original
mraminella,XtextExamples,2018-05-31,original
msntts,XtextStudy,2021-04-21,original
chiachong,XTextClassification,2022-02-23,original
vinisbranco,XtextGerador,2018-08-31,original
pakhopav,XtextPlugin,2021-08-11,original
IamRaziel,XtextTutorial,2021-05-05,original
dstoft,XtextWorkspace,2021-03-25,original
MisbahAwan,XtextCollaborativeEnvironment,2023-12-28,original
pakhopav,XtextLanguage,2019-08-09,original
fonuhuolian,XTextView,2018-10-19,original
RomainLefeuvre,xtextHW,2021-11-24,original
BestCoderXQX,XTextFlagDemo,2018-06-26,original
vinisbranco,XtextTrabalho2,2018-09-05,original
loicperreal,Xtext,2019-01-22,original
goflyboy,xtextsample,2021-02-19,original
SharkJ,XtextInheritanceTest,2018-12-19,original
hewenyuAndroid,XTextView-Android,2018-10-25,original
OLibutzki,XtextExtras446,2019-06-17,original
vinisbranco,XtextJavaScript,2018-08-22,original
AndreasGroentved,XtextDSL2018,2018-04-22,original
robertchristen,XTextCategorizer.Demo,2020-05-03,original
alvarofpp,tutorial-xtext,2021-11-06,original
pakhopav,XtextLanguageGradle,2019-08-27,original
pakhopav,xtext,2019-08-02,original
adamhorvath88,Xtext,2021-02-13,original
0xMYsteRy,Xtext,2022-04-20,original
taylorlohan,XtextHealth2.0,2021-04-13,original
Caroline66666,xtext,2022-01-20,original
