owner,repo,real_created_date,date_source
waynepiekarski,XTextureExtractor,2018-01-15,commit_based
TypeFox,theia-xtext-sprotty-example,2018-12-12,api_based
altran-mde,xtext-sirius-integration,2017-08-14,commit_based
NielsLiisberg,RPG-lexer,2019-12-03,api_based
TypeFox,vscode-xtext-sprotty-example,2020-10-07,api_based
eclipse,xtext-website,2011-07-13,commit_based
UnBCIC-TP2,Oberon-IDE,2021-05-19,api_based
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2019-05-10,api_based
resloved,xtext,2019-03-28,api_based
lurenzhangdeshuai,EmojiText-XText,2022-01-02,api_based
kuniss,xtext-ide-extensions,2019-02-23,api_based
Mabar16,xtextMath,2020-03-22,api_based
MISO4202,co.edu.uniandes.gramaticajmeter,2019-03-29,api_based
preesm,ripacola-xtext,2019-04-29,api_based
GiordanoT,ocl-xtext,2022-11-30,api_based
TypeFox,xtext2langium,2022-10-27,api_based
pen-zhang,xtext_elm_editor,2020-12-27,api_based
ravornyo,xspice,2022-03-13,api_based
OpenSextant,XText,2018-05-15,api_based
laubfall,jugh-xtext-arkanoid,2018-03-21,commit_based
khabdrick,LambdaXtextract,2022-03-11,api_based
bsati,mgpl-xtext,2021-02-01,api_based
urbanoanderson,xtext-gait-model,2019-02-20,api_based
TopXDevTeam,TopXTextUI,2023-11-14,api_based
ngreve,xtext_web,2020-03-04,api_based
nmaoez,composer-language-server,NOT_FOUND,NOT_FOUND
FAMILIAR-project,xtext-dsl-compiler-example,2020-11-03,api_based
HermanPeeren,eJSL-ANTLR4,2021-12-02,api_based
program-in-chinese,xtext_tutorial_15_min_zh,2018-01-19,api_based
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19,api_based
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-11,api_based
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18,api_based
idiomaticsoft,xtext-tips,2022-03-17,api_based
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23,api_based
MISO4202,xtext-egl-sql2java,2019-02-15,api_based
oliverablagojevic,QuestionnaireDSL,2020-07-16,api_based
hvbargen,meth,2022-04-18,api_based
zxhr,gradle-xtext-generator,2020-05-31,api_based
tmtron,ex.xtext.lsp,2018-01-19,api_based
echebbi,standalone-xtext-example,2018-02-06,api_based
darvasd,xtext-docs-gen,2018-03-31,api_based
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19,api_based
ElBilbao,DSL-Wizard-Creator,2020-08-31,api_based
Zannith,XtextTest,2018-06-15,api_fallback
AnnaLenaMeiners,XtextExamples,2021-01-02,api_based
Kerolos77,XTextEditor,2021-01-04,api_based
ScytherTool,dsl,2023-05-22,api_based
holgerschill,xtextCodebuff,2018-10-18,api_based
devzwy,XTextView,2022-01-13,api_based
mraminella,XtextExamples,2018-05-31,api_based
msntts,XtextStudy,2021-04-21,api_based
chiachong,XTextClassification,2022-02-23,api_based
vinisbranco,XtextGerador,2018-08-31,api_based
pakhopav,XtextPlugin,2021-08-11,api_based
