Owner Login,Repo Name,XText File Count
waynepiekarski,XTextureExtractor,0
TypeFox,theia-xtext-sprotty-example,1
altran-mde,xtext-sirius-integration,8
graph-quilt,graphql-xtext,1
TypeFox,vscode-xtext-sprotty-example,1
eclipse,xtext-website,0
intuit,common-xtext-expression-language,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,11
resloved,xtext,0
lurenzhangdeshuai,EmojiText-XText,0
kuniss,xtext-ide-extensions,1
graph-quilt,xtext-service-dsl,1
btc-ag,service-idl,1
eventB-Soton,XUML_B,1
Minres,CoreDSL,1
TypeFox,xtext2langium,0
v-bashev,post_core,2
NielsLiisberg,RPG-lexer,1
OpenSextant,XText,0
laubfall,jugh-xtext-arkanoid,1
khabdrick,LambdaXtextract,0
bsati,mgpl-xtext,1
UnBCIC-TP2,Oberon-XText,2
TopXDevTeam,TopXTextUI,0
ngreve,xtext_web,0
nmaoez,composer-language-server,1
FAMILIAR-project,xtext-dsl-compiler-example,2
eventB-Soton,XTheory,1
program-in-chinese,xtext_tutorial_15_min_zh,2
code-kontor,openCypher-Xtext,1
eclipse,epsilon,2
UnBCIC-TP2,Oberon-IDE,1
idiomaticsoft,xtext-tips,22
atb,pt.isep.dsl.puml,2
Webastronaut,mgpl,1
PAMunb,MetaCrySL,1
raghvendra-v,tosca-yaml-lsp,1
zxhr,gradle-xtext-generator,3
tmtron,ex.xtext.lsp,1
echebbi,standalone-xtext-example,1
darvasd,xtext-docs-gen,1
jcabot,WordPress-Plugin-DSL,1
JensBAndersen,PolicyLanguage,1
Zannith,XtextTest,0
AnnaLenaMeiners,XtextExamples,4
Kerolos77,XTextEditor,0
Mabar16,xtextMath,1
holgerschill,xtextCodebuff,0
devzwy,XTextView,0
mraminella,XtextExamples,4
msntts,XtextStudy,2
chiachong,XTextClassification,0
vinisbranco,XtextGerador,0
pakhopav,XtextPlugin,124
IamRaziel,XtextTutorial,1
dstoft,XtextWorkspace,4
MisbahAwan,XtextCollaborativeEnvironment,4
pakhopav,XtextLanguage,0
fonuhuolian,XTextView,0
RomainLefeuvre,xtextHW,3
BestCoderXQX,XTextFlagDemo,0
vinisbranco,XtextTrabalho2,2
loicperreal,Xtext,0
goflyboy,xtextsample,0
SharkJ,XtextInheritanceTest,4
hewenyuAndroid,XTextView-Android,0
OLibutzki,XtextExtras446,1
vinisbranco,XtextJavaScript,0
AndreasGroentved,XtextDSL2018,1
robertchristen,XTextCategorizer.Demo,0
alvarofpp,tutorial-xtext,1
pakhopav,XtextLanguageGradle,62
pakhopav,xtext,1
adamhorvath88,Xtext,4
0xMYsteRy,Xtext,6
taylorlohan,XtextHealth2.0,1
Caroline66666,xtext,4
xuxiaowen87,XText,0
MisbahAwan,xtext,2
ichxorya,failed-xtext2vscode-example,1
hwong23,dsl.evtool,2
RobMoloney,xtext,4
l1ppe,xtext,1
madhouni,wps-ecore-ocl-xtext,0
MISO4202,uniandes.mdd.xtext2xmi,0
tchebs,xtext,2
mlopez8621,xtext,2
magick93,xtext,4
ShivaniBali,Theia-Xtext-Yangster-Project-,1
ehah,XtendExample,0
MISO4202,co.edu.uniandes.gramaticajmeter,2
vks2106,prenum,0
drkstr101,hello-xtext,2
arthurmosley,Essex-Test,0
eclipse,xtext-website-publish,0
jflopezfernandez,xtextutils,0
AlanQuadros,xtextlpmangan,2
jonaslagoni,JSON-Schema-to-internal-DSL,1
OezzyB,e-portfolio-Xtext,3
fedorov-vk,apds_dsl,2
zinon,xtextminer,0
mustafa231,xtexteditor,0
MOSafely,xtextrepo,0
bproenca,mpti-dsl,2
LorenzoBettini,xtext-domain-model-guice-5,1
BlackBeltTechnology,karaf-features-eclipse-xtext,0
vashchenkov,xtext-samle,1
germono,FormXtext,1
Quingo,compiler_xtext,1
ShrawanBK,xtext_salestransaction,2
tshoang,XMarking,2
szschaler,henshin_xtext_adapter,0
hakimuga,BIP-language,1
adautofbn,pascal-xtext,2
efuentesp,Xtext-UCS,1
preesm,ripacola-xtext,1
wibeck,testXtext,2
msun68,xtext-examples,1
xTexturedxx,xTexturedxx,0
HexXText,HexXText,0
Gricel-lee,Xtext-Maven,1
kolchanov,org.xtext.example.mydsl.parent,2
kecksk0enig,vuc-xtext,1
EvdokimovMaks,xtext-expressions,1
Sorokatov,xtext-demo,0
uppaal-emf,uppaal-xtext,1
matheuslenke,Xtext-UML,4
r4mtor,xtext-talks,1
nbhusare,xtext-playground,6
kokostino,xtext_kokomodel,4
GiordanoT,ocl-xtext,2
dr-jam,ABL-XText,1
lahirugayanga,xtext-projection,2
daniel614,xtext-webapp,2
Spiderixius,DSLIndividualXtext,1
mdsd-team-1,photos-xtext,1
efuentesp,xtext-cobol,1
torosky,Libreria-Xtext,0
MaxiEckert,Xtext-example,2
as500,xtext-rpgle,0
JavierOramas,AudiXText,0
xtext,xtext-monorepo,231
vjordan,Xtext_browser,2
Yop-La,xtext_project,1
JesterOrNot,Gitpod-XText,1
eclipse,xtext-archive,0
Lethalaric,xtext-learning,2
DSIE2,tr.xtext,1
ShivaniBali,Theia-Xtext,2
kthoms,xtext-webinar,0
christopherosthues,mgpl-xtext,1
zhanglin2018,learnXtext,4
