Repo Owner,Repo Name,XText File Path
TypeFox,theia-xtext-sprotty-example,language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/States.xtext
altran-mde,xtext-sirius-integration,demo/com.example.classes.inlineedit/src/com/example/classes/Inlineedit.xtext
altran-mde,xtext-sirius-integration,demo/com.example.classes/src/com/example/Classes.xtext
altran-mde,xtext-sirius-integration,demo/nl.altran.example.xtext.html/src/nl/altran/example/xtext/html/HtmlLang.xtext
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl.inlineedit/src/org/eclipse/xtext/example/fowlerdsl/InlineEdit.xtext
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl/src/org/eclipse/xtext/example/fowlerdsl/Statemachine.xtext
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.ekeylang.xtext/src/com/altran/general/integration/xtextsirius/test/EKeyLang.xtext
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/src/com/altran/general/integration/xtextsirius/test/reflang/RefLang.xtext
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.edit/src/com/altran/general/integration/xtextsirius/test/reflang/edit/RefLangEdit.xtext
graph-quilt,graphql-xtext,com.intuit.graphql.parent/com.intuit.graphql/src/com/intuit/graphql/GraphQL.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.customgreetings.parent/org.example.customgreetings/src/org/example/customgreetings/Greetings.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.entities.parent/org.example.entities/src/org/example/entities/Entities.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.expressions.parent/org.example.expressions/src/org/example/expressions/Expressions.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.helloidea.parent/org.example.helloidea/src/org/example/helloidea/HelloIdea.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.hellomaven.parent/org.example.hellomaven/src/org/example/hellomaven/HelloMaven.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.helloweb.parent/org.example.helloweb/src/org/example/helloweb/HelloWeb.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.library.parent/org.example.library/src/org/example/library/Library.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.school.parent/org.example.school/src/org/example/school/School.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.smalljava.parent/org.example.smalljava/src/org/example/smalljava/SmallJava.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.xbase.entities.parent/org.example.xbase.entities/src/org/example/xbase/entities/Entities.xtext
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.xbase.expressions.parent/org.example.xbase.expressions/src/org/example/xbase/expressions/Expressions.xtext
kuniss,xtext-ide-extensions,xtext-language-server/de.grammarcraft.xtext.ls/src/main/java/de/grammarcraft/xtext/ls/Xtext.xtext
graph-quilt,xtext-service-dsl,com.intuit.dsl.service.parent/com.intuit.dsl.service/src/com/intuit/dsl/Service.xtext
btc-ag,service-idl,com.btc.serviceidl/src/com/btc/serviceidl/Idl.xtext
eventB-Soton,XUML_B,ac.soton.xumlb/src/ac/soton/xumlb/XUmlb.xtext
Minres,CoreDSL,com.minres.coredsl/src/com/minres/coredsl/CoreDsl.xtext
