waynepiekarski,XTextureExtractor,0
TypeFox,theia-xtext-sprotty-example,1,1.00
altran-mde,xtext-sirius-integration,10,2.90
graph-quilt,graphql-xtext,0,0.00
TypeFox,vscode-xtext-sprotty-example,1,1.00
eclipse,xtext-website,0
intuit,common-xtext-expression-language,0,0.00
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,7,1.00
resloved,xtext,0
lurenzhangdeshuai,EmojiText-XText,0
kuniss,xtext-ide-extensions,1,4.00
graph-quilt,xtext-service-dsl,7,1.00
btc-ag,service-idl,47,1.55
eventB-Soton,XUML_B,0,0.00
Minres,CoreDSL,5,2.00
TypeFox,xtext2langium,0
v-bashev,post_core,2,1.00
NielsLiisberg,RPG-lexer,0,0.00
OpenSextant,XText,0
laubfall,jugh-xtext-arkanoid,4,2.25
khabdrick,LambdaXtextract,0
bsati,mgpl-xtext,2,1.00
UnBCIC-TP2,Oberon-XText,122,1.00
TopXDevTeam,TopXTextUI,0
ngreve,xtext_web,0
nmaoez,composer-language-server,0,0.00
FAMILIAR-project,xtext-dsl-compiler-example,0,0.00
eventB-Soton,XTheory,0,0.00
program-in-chinese,xtext_tutorial_15_min_zh,4,1.00
code-kontor,openCypher-Xtext,0,0.00
eclipse,epsilon,1,2.00
UnBCIC-TP2,Oberon-IDE,0,0.00
idiomaticsoft,xtext-tips,1,1.00
atb,pt.isep.dsl.puml,0,0.00
Webastronaut,mgpl,2,1.00
PAMunb,MetaCrySL,0,0.00
raghvendra-v,tosca-yaml-lsp,1,2.00
zxhr,gradle-xtext-generator,0
tmtron,ex.xtext.lsp,1,1.00
echebbi,standalone-xtext-example,1,1.00
darvasd,xtext-docs-gen,0,0.00
jcabot,WordPress-Plugin-DSL,1,2.00
JensBAndersen,PolicyLanguage,0
Zannith,XtextTest,0
AnnaLenaMeiners,XtextExamples,0,0.00
Kerolos77,XTextEditor,0
Mabar16,xtextMath,0
holgerschill,xtextCodebuff,0
devzwy,XTextView,0
mraminella,XtextExamples,0,0.00
