Repository,ecore,xtext,mwe2
XTextureExtractor,NO,NO,NO
theia-xtext-sprotty-example,NO,YES,YES
xtext-sirius-integration,YES,YES,YES
graphql-xtext,YES,YES,YES
vscode-xtext-sprotty-example,NO,YES,YES
xtext-website,NO,NO,NO
common-xtext-expression-language,NO,YES,YES
Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,YES,YES,YES
xtext,NO,YES,YES
EmojiText-XText,NO,NO,NO
xtext-ide-extensions,NO,YES,YES
xtext-service-dsl,NO,YES,YES
service-idl,NO,YES,YES
XUML_B,NO,YES,YES
CoreDSL,NO,YES,YES
xtext2langium,NO,NO,NO
post_core,YES,YES,YES
RPG-lexer,YES,YES,YES
XText,NO,YES,YES
jugh-xtext-arkanoid,YES,YES,YES
LambdaXtextract,NO,NO,NO
mgpl-xtext,NO,YES,YES
Oberon-XText,YES,YES,YES
TopXTextUI,NO,NO,NO
xtext_web,YES,YES,YES
composer-language-server,NO,YES,YES
xtext-dsl-compiler-example,YES,YES,YES
XTheory,YES,YES,YES
xtext_tutorial_15_min_zh,YES,YES,YES
openCypher-Xtext,NO,YES,YES
epsilon,YES,YES,YES
Oberon-IDE,YES,YES,YES
xtext-tips,YES,YES,YES
pt.isep.dsl.puml,NO,YES,YES
mgpl,YES,YES,YES
MetaCrySL,NO,YES,YES
tosca-yaml-lsp,NO,YES,YES
gradle-xtext-generator,NO,YES,NO
ex.xtext.lsp,NO,YES,YES
standalone-xtext-example,YES,YES,YES
xtext-docs-gen,YES,YES,YES
WordPress-Plugin-DSL,NO,YES,YES
PolicyLanguage,NO,YES,NO
XtextTest,?,?,?
XtextExamples,YES,YES,YES
XTextEditor,NO,NO,NO
xtextMath,NO,YES,NO
xtextCodebuff,NO,NO,NO
XTextView,NO,NO,NO
XtextExamples,YES,YES,YES
XtextStudy,YES,YES,YES
XTextClassification,NO,NO,NO
XtextGerador,NO,NO,NO
XtextPlugin,NO,YES,NO
XtextTutorial,NO,YES,YES
XtextWorkspace,YES,YES,YES
XtextCollaborativeEnvironment,YES,YES,YES
XtextLanguage,NO,NO,NO
XTextView,NO,NO,NO
xtextHW,YES,YES,YES
XTextFlagDemo,NO,NO,NO
XtextTrabalho2,YES,YES,YES
Xtext,NO,YES,YES
xtextsample,NO,NO,NO
XtextInheritanceTest,YES,YES,YES
XTextView-Android,NO,NO,NO
XtextExtras446,YES,YES,YES
XtextJavaScript,NO,NO,NO
XtextDSL2018,YES,YES,YES
XTextCategorizer.Demo,NO,NO,NO
tutorial-xtext,YES,YES,YES
XtextLanguageGradle,NO,YES,NO
xtext,NO,YES,YES
Xtext,NO,YES,YES
Xtext,NO,YES,YES
XtextHealth2.0,NO,NO,NO
