Owner,Repo,Scenario
waynepiekarski,XTextureExtractor,not applicable
TypeFox,theia-xtext-sprotty-example,not applicable
altran-mde,xtext-sirius-integration,TBD
graph-quilt,graphql-xtext,not applicable
TypeFox,vscode-xtext-sprotty-example,not applicable
eclipse,xtext-website,not applicable
intuit,common-xtext-expression-language,not applicable
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,metamodel-driven
resloved,xtext,not applicable
lurenzhangdeshuai,EmojiText-XText,not applicable
kuniss,xtext-ide-extensions,not applicable
graph-quilt,xtext-service-dsl,not applicable
btc-ag,service-idl,not applicable
eventB-Soton,XUML_B,not applicable
Minres,CoreDSL,not applicable
TypeFox,xtext2langium,not applicable
v-bashev,post_core,not applicable
NielsLiisberg,RPG-lexer,grammar-driven
OpenSextant,XText,not applicable
laubfall,jugh-xtext-arkanoid,grammar-driven
khabdrick,LambdaXtextract,not applicable
bsati,mgpl-xtext,not applicable
UnBCIC-TP2,Oberon-XText,grammar-driven
TopXDevTeam,TopXTextUI,not applicable
ngreve,xtext_web,not applicable
nmaoez,composer-language-server,not applicable
FAMILIAR-project,xtext-dsl-compiler-example,not applicable
eventB-Soton,XTheory,metamodel-driven
program-in-chinese,xtext_tutorial_15_min_zh,grammar-driven
code-kontor,openCypher-Xtext,not applicable
eclipse,epsilon,not applicable
UnBCIC-TP2,Oberon-IDE,grammar-driven
idiomaticsoft,xtext-tips,metamodel-driven
atb,pt.isep.dsl.puml,not applicable
Webastronaut,mgpl,grammar-driven
PAMunb,MetaCrySL,not applicable
raghvendra-v,tosca-yaml-lsp,not applicable
zxhr,gradle-xtext-generator,not applicable
tmtron,ex.xtext.lsp,not applicable
echebbi,standalone-xtext-example,grammar-driven
darvasd,xtext-docs-gen,grammar-driven
jcabot,WordPress-Plugin-DSL,not applicable
JensBAndersen,PolicyLanguage,not applicable
Zannith,XtextTest,not applicable
AnnaLenaMeiners,XtextExamples,not applicable
Kerolos77,XTextEditor,not applicable
Mabar16,xtextMath,not applicable
holgerschill,xtextCodebuff,not applicable
devzwy,XTextView,not applicable
mraminella,XtextExamples,grammar-driven
msntts,XtextStudy,grammar-driven
chiachong,XTextClassification,not applicable
vinisbranco,XtextGerador,not applicable
pakhopav,XtextPlugin,not applicable
IamRaziel,XtextTutorial,not applicable
dstoft,XtextWorkspace,grammar-driven
MisbahAwan,XtextCollaborativeEnvironment,not applicable
pakhopav,XtextLanguage,not applicable
fonuhuolian,XTextView,not applicable
RomainLefeuvre,xtextHW,not applicable
BestCoderXQX,XTextFlagDemo,not applicable
vinisbranco,XtextTrabalho2,grammar-driven
loicperreal,Xtext,not applicable
goflyboy,xtextsample,not applicable
SharkJ,XtextInheritanceTest,grammar-driven
hewenyuAndroid,XTextView-Android,not applicable
OLibutzki,XtextExtras446,grammar-driven
vinisbranco,XtextJavaScript,not applicable
AndreasGroentved,XtextDSL2018,grammar-driven
robertchristen,XTextCategorizer.Demo,not applicable
alvarofpp,tutorial-xtext,not applicable
pakhopav,XtextLanguageGradle,not applicable
pakhopav,xtext,not applicable
adamhorvath88,Xtext,not applicable
0xMYsteRy,Xtext,not applicable
taylorlohan,XtextHealth2.0,grammar-driven
Caroline66666,xtext,not applicable
xuxiaowen87,XText,not applicable
MisbahAwan,xtext,metamodel-driven
ichxorya,failed-xtext2vscode-example,not applicable
hwong23,dsl.evtool,not applicable
RobMoloney,xtext,not applicable
l1ppe,xtext,grammar-driven
madhouni,wps-ecore-ocl-xtext,metamodel-driven
MISO4202,uniandes.mdd.xtext2xmi,not applicable
tchebs,xtext,grammar-driven
mlopez8621,xtext,TBD
magick93,xtext,not applicable
ShivaniBali,Theia-Xtext-Yangster-Project-,grammar-driven
ehah,XtendExample,not applicable
MISO4202,co.edu.uniandes.gramaticajmeter,grammar-driven
vks2106,prenum,not applicable
drkstr101,hello-xtext,grammar-driven
arthurmosley,Essex-Test,not applicable
eclipse,xtext-website-publish,not applicable
jflopezfernandez,xtextutils,not applicable
AlanQuadros,xtextlpmangan,grammar-driven
jonaslagoni,JSON-Schema-to-internal-DSL,grammar-driven
OezzyB,e-portfolio-Xtext,grammar-driven
fedorov-vk,apds_dsl,not applicable
zinon,xtextminer,not applicable
mustafa231,xtexteditor,not applicable
MOSafely,xtextrepo,not applicable
bproenca,mpti-dsl,grammar-driven
LorenzoBettini,xtext-domain-model-guice-5,grammar-driven
BlackBeltTechnology,karaf-features-eclipse-xtext,not applicable
vashchenkov,xtext-samle,not applicable
germono,FormXtext,grammar-driven
Quingo,compiler_xtext,not applicable
ShrawanBK,xtext_salestransaction,not applicable
tshoang,XMarking,metamodel-driven
szschaler,henshin_xtext_adapter,not applicable
hakimuga,BIP-language,not applicable
adautofbn,pascal-xtext,grammar-driven
efuentesp,Xtext-UCS,not applicable
preesm,ripacola-xtext,not applicable
wibeck,testXtext,grammar-driven
msun68,xtext-examples,grammar-driven
xTexturedxx,xTexturedxx,not applicable
HexXText,HexXText,not applicable
Gricel-lee,Xtext-Maven,not applicable
kolchanov,org.xtext.example.mydsl.parent,grammar-driven
kecksk0enig,vuc-xtext,grammar-driven
EvdokimovMaks,xtext-expressions,not applicable
Sorokatov,xtext-demo,not applicable
uppaal-emf,uppaal-xtext,not applicable
matheuslenke,Xtext-UML,not applicable
r4mtor,xtext-talks,grammar-driven
nbhusare,xtext-playground,grammar-driven
kokostino,xtext_kokomodel,not applicable
GiordanoT,ocl-xtext,grammar-driven
dr-jam,ABL-XText,not applicable
lahirugayanga,xtext-projection,grammar-driven
daniel614,xtext-webapp,grammar-driven
Spiderixius,DSLIndividualXtext,not applicable
mdsd-team-1,photos-xtext,grammar-driven
efuentesp,xtext-cobol,not applicable
torosky,Libreria-Xtext,not applicable
MaxiEckert,Xtext-example,metamodel-driven
as500,xtext-rpgle,not applicable
JavierOramas,AudiXText,not applicable
xtext,xtext-monorepo,not applicable
vjordan,Xtext_browser,grammar-driven
Yop-La,xtext_project,grammar-driven
JesterOrNot,Gitpod-XText,not applicable
eclipse,xtext-archive,not applicable
Lethalaric,xtext-learning,not applicable
DSIE2,tr.xtext,not applicable
ShivaniBali,Theia-Xtext,grammar-driven
kthoms,xtext-webinar,not applicable
christopherosthues,mgpl-xtext,not applicable
zhanglin2018,learnXtext,grammar-driven
seebgar,Xtext-Projects,not applicable
Vallenstein,xtext_web,not applicable
AbQadirr,dialogXtextflow,not applicable
blue995,xtext-orm,not applicable
arockiaraj1994,xtext-mvn,grammar-driven
moein9,passXtext,not applicable
saivarunr,xtext-editor,not applicable
JesterOrNot,xtext-cli,not applicable
Somiacao,xtext-web,not applicable
katmatt,graphql-xtext,not applicable
LIONant-depot,xtexture_compiler,not applicable
tchebs,xtext-example,not applicable
ballcoach12,xtext_samples,not applicable
AssaX0,MDSE-xtext,grammar-driven
samples-projects,sample-xtext,not applicable
karthik137,xtext-demo,grammar-driven
MDE-Course-23-24,SIRIUS-XTEXT,metamodel-driven
softlang,megal-xtext,metamodel-driven
laurocesar,xtext-domainmodel,grammar-driven
Yahaya12,Xtext-project,not applicable
malhxr,SpeechXtext,not applicable
stanimirovv,xtext-extractor,not applicable
3m3k3,xtext-congen,not applicable
pen-zhang,xtext_elm_editor,not applicable
NSaitoNmiri,toppers_cfg_xtext,not applicable
tmtron,ex.xtext.twog,not applicable
vinicius0197,metacrysl,not applicable
Dexels,navascript-editor,not applicable
adrianrutle,PCS953-EMF-Exercise,not applicable
ravornyo,xspice,grammar-driven
yamen-njm,IotXtext,not applicable
kainzpat14,xtext-plsql,grammar-driven
epsilonlabs,emc-xtext,not applicable
robertovillarejo,kukulkan-grammar,grammar-driven
lvanzeun,ulm-xtext-test,grammar-driven
purerstamp,N7.compilateur,grammar-driven
jaedabee,xtext-gradle-test,not applicable
MassiBelaid,M-langeuse-Xtext,not applicable
qxe35v,xtext_encoding_dsl,TBD
random-eclipse,nix-eclipse-xtext,not applicable
meta-doodle,Xtext_Gradle_Test,not applicable
LiamWalsh98,nusmv-xtext-lsp,grammar-driven
MaximilianKoestler,vscode-xtext-links,not applicable
AhmedEssam2212,xText-Editor-,not applicable
adrinerDP,DSL-with-Xtext,not applicable
cdietrich,xtext-domainmodel-ls,not applicable
tmtron,ex.xtext.ml,not applicable
andrewsandu,xtext-web-example,grammar-driven
pngowda,xtext-build-tools,not applicable
SharkJ,xtext-dsl-sample,grammar-driven
hammedb197,team-hacktive-xtext,not applicable
SimonCockx,xtext-monaco-example,not applicable
mister-walter,xtext-folding-issue,not applicable
alexvolh,xtext-xml-grammar,not applicable
SharkJ,my-theia-xtext,grammar-driven
urbanoanderson,xtext-gait-model,grammar-driven
vjordan,Xtext_directory-file,grammar-driven
JosBouwhuis,xText-DSL,not applicable
CS130-W20,assignment-2-xtext,not applicable
lunifera,xtext-jvmtypeprovider-standalone,not applicable
bobbyfisher1,eclipse-workspace,grammar-driven
dsl-course,xtext-entities-tutorial,not applicable
Highbrainer,xtext-pde-target,not applicable
mattsse,xtext-fipa-acl,not applicable
XIECHO,qingo_xtext_documentation,not applicable
FariSoftware,xtext-problem-matcher,not applicable
ShrawanBK,xtext.sales.transactions,not applicable
Lzgpom,xtext-gen-extension,not applicable
drkstr101,Domainmodel,grammar-driven
vinicius0197,expressions-dsl,grammar-driven
LorenzoBettini,xtext-xdoc-releases,not applicable
KarstenWilken,xTextForum,grammar-driven
S-wald,xtext-plugin-gradle,metamodel-driven
lahirugayanga,xtext-example-dsl,grammar-driven
cdietrich,xtext-fragment-experiments,not applicable
cdietrich,xtext_bug_1974,not applicable
bergmanngabor,xtext-railmap-demo,grammar-driven
mchlrch,xtext-intro-bfh,grammar-driven
EvdokimovMaks,xtext-example-entities,grammar-driven
cipek,MyFirstXText,grammar-driven
pngowda,xtext-ci-libs,not applicable
paulvberlin,BaSiriusXtext,metamodel-driven
szarnyasg,sql-pgq-xtext,not applicable
frademacher,xtext-jpms-test,not applicable
xtext,xtext-monorepo-lfs,not applicable
LorenzoBettini,xtext-build-utils,not applicable
cdietrich,xtext-two-dsls,not applicable
