repo_owner_login,repo_name,ecore_file_name,ecore_folder_name
eclipse,xtext,Xtend.ecore,model
eclipse,xtext,RichStrings.ecore,model
eclipse,xtext,Xbase.ecore,model
eclipse,xtext,Xtype.ecore,model
eclipse,xtext,XAnnotations.ecore,model
eclipse,xtext,JavaVMTypes.ecore,model
eclipse,xtext,Codetemplates.ecore,generated
eclipse,xtext,NoJdtTestLanguage.ecore,generated
eclipse,xtext,Bug462047Lang.ecore,generated
eclipse,xtext,BeeLangTestLanguage.ecore,generated
eclipse,xtext,NestedRefsTestLanguage.ecore,generated
eclipse,xtext,XtextGrammarTestLanguage.ecore,generated
eclipse,xtext,BuilderState.ecore,model
eclipse,xtext,Entities.ecore,generated
eclipse,xtext,Statemachine.ecore,generated
eclipse,xtext,SimpleExpressions.ecore,splitting
eclipse,xtext,Xtext.ecore,xtext
eclipse,xtext,PureXbase.ecore,generated
eclipse,xtext,Trace.ecore,model
eclipse,xtext,XImportSectionTestLang.ecore,generated
eclipse,xtext,ContentAssistFragmentTestLang.ecore,generated
eclipse,xtext,FileAwareTestLanguage.ecore,generated
eclipse,xtext,Arithmetics.ecore,generated
eclipse,xtext,RuleEngine.ecore,generated
eclipse,xtext,Statemachine.ecore,generated
eclipse,xtext,Domainmodel.ecore,generated
eclipse,xtext,RenameTestLanguage.ecore,generated
eclipse,xtext,ConcreteTestLanguage.ecore,grammarinheritance
eclipse,xtext,simple.ecore,testfiles
eclipse,xtext,Bug311337TestLanguage.ecore,lazy
eclipse,xtext,mydsl.ecore,resource
eclipse,xtext,Bug385636.ecore,resource
eclipse,xtext,EnumRulesUiTestLanguage.ecore,generated
eclipse,xtext,EcoreFragmentTestLanguage.ecore,ecore
eclipse,xtext,GenericsTest.ecore,util
eclipse,xtext,UnorderedGroupsTestLanguage.ecore,unorderedGroups
eclipse,xtext,ReferringTestLanguage.ecore,generated
eclipse,xtext,PartialParsingTestUtil.ecore,parser
eclipse,xtext,CrossContainment.ecore,impl
eclipse,xtext,TerminalRulesTestLanguage.ecore,terminalrules
eclipse,xtext,Bug288760TestLanguage.ecore,generated
eclipse,xtext,ReferenceGrammarUiTestLanguage.ecore,generated
eclipse,xtext,EObjectAtOffsetTestLanguage.ecore,resource
eclipse,xtext,SyntacticSequencerTestLanguage.ecore,serializer
eclipse,xtext,DatatypeRulesTestLanguage.ecore,datatyperules
eclipse,xtext,Bug287941TestModel.ecore,contentassist
eclipse,xtext,enums.ecore,enumrules
eclipse,xtext,Bug381381TestLanguage.ecore,generated
eclipse,xtext,Bug289187TestLanguage.ecore,generated
eclipse,xtext,BuilderTestLanguage.ecore,generated
eclipse,xtext,IndentationAwareUiTestLanguage.ecore,generated
eclipse,xtext,Bug406914TestLanguage.ecore,antlr
eclipse,xtext,enumsUi.ecore,enumrules
eclipse,xtext,Bug289059TestLanguage.ecore,linking
eclipse,xtext,Bug317840TestLanguage.ecore,terminalrules
