Owner,Repo,XText File,Commit Count
TypeFox,theia-xtext-sprotty-example,language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/States.xtext,1
altran-mde,xtext-sirius-integration,demo/com.example.classes.inlineedit/src/com/example/classes/Inlineedit.xtext,1
altran-mde,xtext-sirius-integration,demo/com.example.classes/src/com/example/Classes.xtext,2
altran-mde,xtext-sirius-integration,demo/nl.altran.example.xtext.html/src/nl/altran/example/xtext/html/HtmlLang.xtext,1
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl.inlineedit/src/org/eclipse/xtext/example/fowlerdsl/InlineEdit.xtext,6
altran-mde,xtext-sirius-integration,demo/org.eclipse.xtext.example.fowlerdsl/src/org/eclipse/xtext/example/fowlerdsl/Statemachine.xtext,7
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.ekeylang.xtext/src/com/altran/general/integration/xtextsirius/test/EKeyLang.xtext,2
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/src/com/altran/general/integration/xtextsirius/test/reflang/RefLang.xtext,2
altran-mde,xtext-sirius-integration,test/com.altran.general.integration.xtextsirius.test.reflang.edit/src/com/altran/general/integration/xtextsirius/test/reflang/edit/RefLangEdit.xtext,1
graph-quilt,graphql-xtext,com.intuit.graphql.parent/com.intuit.graphql/src/com/intuit/graphql/GraphQL.xtext,7
TypeFox,vscode-xtext-sprotty-example,null,null
eclipse,xtext-website,null,null
intuit,common-xtext-expression-language,null,null
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.customgreetings.parent/org.example.customgreetings/src/org/example/customgreetings/Greetings.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.entities.parent/org.example.entities/src/org/example/entities/Entities.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.expressions.parent/org.example.expressions/src/org/example/expressions/Expressions.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.helloidea.parent/org.example.helloidea/src/org/example/helloidea/HelloIdea.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.hellomaven.parent/org.example.hellomaven/src/org/example/hellomaven/HelloMaven.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.helloweb.parent/org.example.helloweb/src/org/example/helloweb/HelloWeb.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.library.parent/org.example.library/src/org/example/library/Library.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.school.parent/org.example.school/src/org/example/school/School.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.smalljava.parent/org.example.smalljava/src/org/example/smalljava/SmallJava.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.xbase.entities.parent/org.example.xbase.entities/src/org/example/xbase/entities/Entities.xtext,1
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,org.example.xbase.expressions.parent/org.example.xbase.expressions/src/org/example/xbase/expressions/Expressions.xtext,1
lurenzhangdeshuai,EmojiText-XText,null,null
kuniss,xtext-ide-extensions,xtext-language-server/de.grammarcraft.xtext.ls/src/main/java/de/grammarcraft/xtext/ls/Xtext.xtext,4
graph-quilt,xtext-service-dsl,com.intuit.dsl.service.parent/com.intuit.dsl.service/src/com/intuit/dsl/Service.xtext,1
btc-ag,service-idl,com.btc.serviceidl/src/com/btc/serviceidl/Idl.xtext,11
eventB-Soton,XUML_B,ac.soton.xumlb/src/ac/soton/xumlb/XUmlb.xtext,3
Minres,CoreDSL,com.minres.coredsl/src/com/minres/coredsl/CoreDsl.xtext,30
TypeFox,xtext2langium,null,null
v-bashev,post_core,null,null
NielsLiisberg,RPG-lexer,org.sitemule.rpglanguage.rpgle/src/org/sitemule/rpglanguage/Rpgle.xtext,3
laubfall,jugh-xtext-arkanoid,arkanoid3d.dsl.parent/arkanoid3d.dsl/src/de/jugh/ArkanoidDsl.xtext,5
khabdrick,LambdaXtextract,null,null
bsati,mgpl-xtext,null,null
