owner,repo,average_count_diff
waynepiekarski,XTextureExtractor,0.00
TypeFox,theia-xtext-sprotty-example,0.00
altran-mde,xtext-sirius-integration,0.12
graph-quilt,graphql-xtext,0.00
TypeFox,vscode-xtext-sprotty-example,0.00
eclipse,xtext-website,0.00
intuit,common-xtext-expression-language,0.00
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,0.00
resloved,xtext,0.00
lurenzhangdeshuai,EmojiText-XText,0.00
kuniss,xtext-ide-extensions,-1.00
graph-quilt,xtext-service-dsl,0.00
btc-ag,service-idl,0.00
eventB-Soton,XUML_B,0.00
Minres,CoreDSL,0.00
TypeFox,xtext2langium,0.00
v-bashev,post_core,-1.00
NielsLiisberg,RPG-lexer,0.00
OpenSextant,XText,0.00
laubfall,jugh-xtext-arkanoid,0.00
khabdrick,LambdaXtextract,0.00
bsati,mgpl-xtext,0.00
UnBCIC-TP2,Oberon-XText,0.00
TopXDevTeam,TopXTextUI,0.00
ngreve,xtext_web,0.00
nmaoez,composer-language-server,0.00
FAMILIAR-project,xtext-dsl-compiler-example,0.00
eventB-Soton,XTheory,-1.00
program-in-chinese,xtext_tutorial_15_min_zh,-1.00
code-kontor,openCypher-Xtext,0.00
eclipse,epsilon,-4.00
UnBCIC-TP2,Oberon-IDE,0.00
idiomaticsoft,xtext-tips,0.00
atb,pt.isep.dsl.puml,0.00
Webastronaut,mgpl,0.00
PAMunb,MetaCrySL,0.00
raghvendra-v,tosca-yaml-lsp,-2.00
zxhr,gradle-xtext-generator,0.00
tmtron,ex.xtext.lsp,0.00
echebbi,standalone-xtext-example,0.00
darvasd,xtext-docs-gen,0.00
jcabot,WordPress-Plugin-DSL,0.00
JensBAndersen,PolicyLanguage,-9.00
Zannith,XtextTest,0.00
AnnaLenaMeiners,XtextExamples,0.00
Kerolos77,XTextEditor,0.00
Mabar16,xtextMath,0.00
holgerschill,xtextCodebuff,0.00
devzwy,XTextView,0.00
mraminella,XtextExamples,0.00
msntts,XtextStudy,-1.00
chiachong,XTextClassification,0.00
vinisbranco,XtextGerador,0.00
pakhopav,XtextPlugin,0.00
IamRaziel,XtextTutorial,0.00
dstoft,XtextWorkspace,0.00
MisbahAwan,XtextCollaborativeEnvironment,0.00
pakhopav,XtextLanguage,0.00
fonuhuolian,XTextView,0.00
RomainLefeuvre,xtextHW,0.00
BestCoderXQX,XTextFlagDemo,0.00
vinisbranco,XtextTrabalho2,0.00
loicperreal,Xtext,0.00
goflyboy,xtextsample,0.00
SharkJ,XtextInheritanceTest,0.00
hewenyuAndroid,XTextView-Android,0.00
OLibutzki,XtextExtras446,0.00
vinisbranco,XtextJavaScript,0.00
AndreasGroentved,XtextDSL2018,1.00
robertchristen,XTextCategorizer.Demo,0.00
alvarofpp,tutorial-xtext,-5.00
pakhopav,XtextLanguageGradle,-0.03
pakhopav,xtext,-1.00
adamhorvath88,Xtext,-4.00
0xMYsteRy,Xtext,-0.50
taylorlohan,XtextHealth2.0,0.00
Caroline66666,xtext,0.00
xuxiaowen87,XText,0.00
MisbahAwan,xtext,0.00
ichxorya,failed-xtext2vscode-example,0.00
hwong23,dsl.evtool,-1.00
RobMoloney,xtext,-0.20
l1ppe,xtext,0.00
madhouni,wps-ecore-ocl-xtext,0.00
MISO4202,uniandes.mdd.xtext2xmi,0.00
tchebs,xtext,0.00
mlopez8621,xtext,-11.00
magick93,xtext,0.00
ShivaniBali,Theia-Xtext-Yangster-Project-,0.00
ehah,XtendExample,0.00
MISO4202,co.edu.uniandes.gramaticajmeter,0.00
vks2106,prenum,0.00
drkstr101,hello-xtext,-1.00
arthurmosley,Essex-Test,0.00
eclipse,xtext-website-publish,0.00
jflopezfernandez,xtextutils,0.00
AlanQuadros,xtextlpmangan,0.00
jonaslagoni,JSON-Schema-to-internal-DSL,0.00
OezzyB,e-portfolio-Xtext,0.00
fedorov-vk,apds_dsl,-0.50
zinon,xtextminer,0.00
mustafa231,xtexteditor,0.00
MOSafely,xtextrepo,0.00
bproenca,mpti-dsl,-3.00
LorenzoBettini,xtext-domain-model-guice-5,0.00
BlackBeltTechnology,karaf-features-eclipse-xtext,0.00
vashchenkov,xtext-samle,0.00
germono,FormXtext,0.00
Quingo,compiler_xtext,-1.00
ShrawanBK,xtext_salestransaction,0.00
tshoang,XMarking,0.00
szschaler,henshin_xtext_adapter,0.00
hakimuga,BIP-language,0.00
adautofbn,pascal-xtext,-8.00
efuentesp,Xtext-UCS,-6.00
preesm,ripacola-xtext,4.00
wibeck,testXtext,0.00
msun68,xtext-examples,0.00
xTexturedxx,xTexturedxx,0.00
HexXText,HexXText,0.00
Gricel-lee,Xtext-Maven,0.00
kolchanov,org.xtext.example.mydsl.parent,0.00
kecksk0enig,vuc-xtext,0.00
EvdokimovMaks,xtext-expressions,0.00
Sorokatov,xtext-demo,0.00
uppaal-emf,uppaal-xtext,0.00
matheuslenke,Xtext-UML,0.00
r4mtor,xtext-talks,0.00
nbhusare,xtext-playground,0.00
kokostino,xtext_kokomodel,5.50
GiordanoT,ocl-xtext,0.00
dr-jam,ABL-XText,-3.00
lahirugayanga,xtext-projection,0.00
daniel614,xtext-webapp,-1.00
Spiderixius,DSLIndividualXtext,0.00
mdsd-team-1,photos-xtext,3.00
efuentesp,xtext-cobol,0.00
torosky,Libreria-Xtext,0.00
MaxiEckert,Xtext-example,0.00
as500,xtext-rpgle,0.00
JavierOramas,AudiXText,0.00
xtext,xtext-monorepo,-0.85
vjordan,Xtext_browser,0.00
Yop-La,xtext_project,0.00
JesterOrNot,Gitpod-XText,0.00
eclipse,xtext-archive,0.00
Lethalaric,xtext-learning,0.00
DSIE2,tr.xtext,0.00
ShivaniBali,Theia-Xtext,0.00
kthoms,xtext-webinar,0.00
christopherosthues,mgpl-xtext,-1.00
zhanglin2018,learnXtext,0.00
seebgar,Xtext-Projects,0.00
Vallenstein,xtext_web,0.00
AbQadirr,dialogXtextflow,0.00
blue995,xtext-orm,0.00
arockiaraj1994,xtext-mvn,0.00
moein9,passXtext,0.00
saivarunr,xtext-editor,0.00
JesterOrNot,xtext-cli,0.00
Somiacao,xtext-web,0.00
katmatt,graphql-xtext,4.00
LIONant-depot,xtexture_compiler,0.00
tchebs,xtext-example,0.00
ballcoach12,xtext_samples,0.00
AssaX0,MDSE-xtext,0.00
samples-projects,sample-xtext,0.00
karthik137,xtext-demo,0.00
MDE-Course-23-24,SIRIUS-XTEXT,0.00
softlang,megal-xtext,-1.00
laurocesar,xtext-domainmodel,0.00
Yahaya12,Xtext-project,0.00
malhxr,SpeechXtext,0.00
stanimirovv,xtext-extractor,0.00
