Owner,Repo,Ecore File Count
graph-quilt,graphql-xtext,0
waynepiekarski,XTextureExtractor,0
TypeFox,theia-xtext-sprotty-example,0
altran-mde,xtext-sirius-integration,11
graph-quilt,graphql-xtext,0
TypeFox,vscode-xtext-sprotty-example,0
eclipse,xtext-website,0
intuit,common-xtext-expression-language,0
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,2
resloved,xtext,0
lurenzhangdeshuai,EmojiText-XText,0
kuniss,xtext-ide-extensions,0
graph-quilt,xtext-service-dsl,0
btc-ag,service-idl,0
eventB-Soton,XUML_B,0
Minres,CoreDSL,0
TypeFox,xtext2langium,0
v-bashev,post_core,0
NielsLiisberg,RPG-lexer,1
OpenSextant,XText,0
laubfall,jugh-xtext-arkanoid,1
khabdrick,LambdaXtextract,0
bsati,mgpl-xtext,0
UnBCIC-TP2,Oberon-XText,1
TopXDevTeam,TopXTextUI,0
ngreve,xtext_web,0
nmaoez,composer-language-server,0
FAMILIAR-project,xtext-dsl-compiler-example,0
eventB-Soton,XTheory,1
program-in-chinese,xtext_tutorial_15_min_zh,2
code-kontor,openCypher-Xtext,0
eclipse,epsilon,0
UnBCIC-TP2,Oberon-IDE,1
idiomaticsoft,xtext-tips,3
atb,pt.isep.dsl.puml,0
Webastronaut,mgpl,1
PAMunb,MetaCrySL,0
raghvendra-v,tosca-yaml-lsp,0
zxhr,gradle-xtext-generator,0
tmtron,ex.xtext.lsp,0
echebbi,standalone-xtext-example,1
darvasd,xtext-docs-gen,1
jcabot,WordPress-Plugin-DSL,0
JensBAndersen,PolicyLanguage,0
Zannith,XtextTest,0
AnnaLenaMeiners,XtextExamples,0
Kerolos77,XTextEditor,0
Mabar16,xtextMath,0
holgerschill,xtextCodebuff,0
devzwy,XTextView,0
mraminella,XtextExamples,2
msntts,XtextStudy,1
chiachong,XTextClassification,0
vinisbranco,XtextGerador,0
pakhopav,XtextPlugin,0
IamRaziel,XtextTutorial,0
dstoft,XtextWorkspace,2
MisbahAwan,XtextCollaborativeEnvironment,0
pakhopav,XtextLanguage,0
fonuhuolian,XTextView,0
RomainLefeuvre,xtextHW,0
BestCoderXQX,XTextFlagDemo,0
vinisbranco,XtextTrabalho2,1
loicperreal,Xtext,0
goflyboy,xtextsample,0
SharkJ,XtextInheritanceTest,2
hewenyuAndroid,XTextView-Android,0
OLibutzki,XtextExtras446,1
vinisbranco,XtextJavaScript,0
AndreasGroentved,XtextDSL2018,1
robertchristen,XTextCategorizer.Demo,0
alvarofpp,tutorial-xtext,0
pakhopav,XtextLanguageGradle,0
pakhopav,xtext,0
adamhorvath88,Xtext,0
0xMYsteRy,Xtext,0
taylorlohan,XtextHealth2.0,1
Caroline66666,xtext,0
xuxiaowen87,XText,0
MisbahAwan,xtext,1
ichxorya,failed-xtext2vscode-example,0
hwong23,dsl.evtool,0
RobMoloney,xtext,0
l1ppe,xtext,1
madhouni,wps-ecore-ocl-xtext,1
MISO4202,uniandes.mdd.xtext2xmi,0
tchebs,xtext,1
mlopez8621,xtext,3
magick93,xtext,0
ShivaniBali,Theia-Xtext-Yangster-Project-,1
ehah,XtendExample,0
MISO4202,co.edu.uniandes.gramaticajmeter,1
vks2106,prenum,0
drkstr101,hello-xtext,2
arthurmosley,Essex-Test,0
eclipse,xtext-website-publish,0
jflopezfernandez,xtextutils,0
AlanQuadros,xtextlpmangan,1
jonaslagoni,JSON-Schema-to-internal-DSL,1
OezzyB,e-portfolio-Xtext,1
fedorov-vk,apds_dsl,0
zinon,xtextminer,0
mustafa231,xtexteditor,0
MOSafely,xtextrepo,0
bproenca,mpti-dsl,1
LorenzoBettini,xtext-domain-model-guice-5,1
BlackBeltTechnology,karaf-features-eclipse-xtext,0
vashchenkov,xtext-samle,0
germono,FormXtext,1
Quingo,compiler_xtext,0
ShrawanBK,xtext_salestransaction,0
tshoang,XMarking,3
szschaler,henshin_xtext_adapter,0
hakimuga,BIP-language,0
adautofbn,pascal-xtext,1
efuentesp,Xtext-UCS,0
preesm,ripacola-xtext,0
wibeck,testXtext,1
msun68,xtext-examples,1
xTexturedxx,xTexturedxx,0
HexXText,HexXText,0
Gricel-lee,Xtext-Maven,0
kolchanov,org.xtext.example.mydsl.parent,1
kecksk0enig,vuc-xtext,1
EvdokimovMaks,xtext-expressions,0
Sorokatov,xtext-demo,0
uppaal-emf,uppaal-xtext,0
matheuslenke,Xtext-UML,0
r4mtor,xtext-talks,1
nbhusare,xtext-playground,2
kokostino,xtext_kokomodel,0
GiordanoT,ocl-xtext,1
dr-jam,ABL-XText,0
lahirugayanga,xtext-projection,1
daniel614,xtext-webapp,1
Spiderixius,DSLIndividualXtext,0
mdsd-team-1,photos-xtext,1
efuentesp,xtext-cobol,0
torosky,Libreria-Xtext,0
MaxiEckert,Xtext-example,13
as500,xtext-rpgle,0
JavierOramas,AudiXText,0
xtext,xtext-monorepo,0
vjordan,Xtext_browser,1
Yop-La,xtext_project,1
JesterOrNot,Gitpod-XText,0
eclipse,xtext-archive,0
Lethalaric,xtext-learning,0
DSIE2,tr.xtext,0
ShivaniBali,Theia-Xtext,1
kthoms,xtext-webinar,0
christopherosthues,mgpl-xtext,0
zhanglin2018,learnXtext,2
seebgar,Xtext-Projects,0
Vallenstein,xtext_web,0
AbQadirr,dialogXtextflow,0
blue995,xtext-orm,0
arockiaraj1994,xtext-mvn,1
moein9,passXtext,0
saivarunr,xtext-editor,0
JesterOrNot,xtext-cli,0
Somiacao,xtext-web,0
katmatt,graphql-xtext,0
LIONant-depot,xtexture_compiler,0
tchebs,xtext-example,0
ballcoach12,xtext_samples,0
AssaX0,MDSE-xtext,1
samples-projects,sample-xtext,0
karthik137,xtext-demo,1
MDE-Course-23-24,SIRIUS-XTEXT,1
softlang,megal-xtext,1
laurocesar,xtext-domainmodel,1
Yahaya12,Xtext-project,0
malhxr,SpeechXtext,0
stanimirovv,xtext-extractor,0
3m3k3,xtext-congen,0
pen-zhang,xtext_elm_editor,0
NSaitoNmiri,toppers_cfg_xtext,0
tmtron,ex.xtext.twog,0
vinicius0197,metacrysl,0
Dexels,navascript-editor,0
adrianrutle,PCS953-EMF-Exercise,0
ravornyo,xspice,1
yamen-njm,IotXtext,0
kainzpat14,xtext-plsql,1
epsilonlabs,emc-xtext,0
robertovillarejo,kukulkan-grammar,1
lvanzeun,ulm-xtext-test,1
purerstamp,N7.compilateur,1
jaedabee,xtext-gradle-test,0
MassiBelaid,M-langeuse-Xtext,0
qxe35v,xtext_encoding_dsl,2
random-eclipse,nix-eclipse-xtext,0
meta-doodle,Xtext_Gradle_Test,0
LiamWalsh98,nusmv-xtext-lsp,1
MaximilianKoestler,vscode-xtext-links,0
AhmedEssam2212,xText-Editor-,0
adrinerDP,DSL-with-Xtext,0
cdietrich,xtext-domainmodel-ls,0
tmtron,ex.xtext.ml,0
andrewsandu,xtext-web-example,1
pngowda,xtext-build-tools,0
SharkJ,xtext-dsl-sample,1
hammedb197,team-hacktive-xtext,0
SimonCockx,xtext-monaco-example,0
mister-walter,xtext-folding-issue,0
alexvolh,xtext-xml-grammar,0
SharkJ,my-theia-xtext,1
urbanoanderson,xtext-gait-model,1
vjordan,Xtext_directory-file,1
JosBouwhuis,xText-DSL,0
CS130-W20,assignment-2-xtext,0
lunifera,xtext-jvmtypeprovider-standalone,0
bobbyfisher1,eclipse-workspace,1
dsl-course,xtext-entities-tutorial,0
Highbrainer,xtext-pde-target,0
mattsse,xtext-fipa-acl,0
XIECHO,qingo_xtext_documentation,0
FariSoftware,xtext-problem-matcher,0
ShrawanBK,xtext.sales.transactions,0
Lzgpom,xtext-gen-extension,0
drkstr101,Domainmodel,1
vinicius0197,expressions-dsl,1
LorenzoBettini,xtext-xdoc-releases,0
KarstenWilken,xTextForum,1
S-wald,xtext-plugin-gradle,1
lahirugayanga,xtext-example-dsl,1
cdietrich,xtext-fragment-experiments,0
