Owner,Repo,Average Commit Count
waynepiekarski,XTextureExtractor,null
TypeFox,theia-xtext-sprotty-example,null
altran-mde,xtext-sirius-integration,3.0
graph-quilt,graphql-xtext,null
TypeFox,vscode-xtext-sprotty-example,null
eclipse,xtext-website,null
intuit,common-xtext-expression-language,null
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,1.0
resloved,xtext,null
lurenzhangdeshuai,EmojiText-XText,null
kuniss,xtext-ide-extensions,null
graph-quilt,xtext-service-dsl,null
btc-ag,service-idl,null
eventB-Soton,XUML_B,null
Minres,CoreDSL,null
TypeFox,xtext2langium,null
v-bashev,post_core,null
NielsLiisberg,RPG-lexer,1.0
OpenSextant,XText,null
laubfall,jugh-xtext-arkanoid,5.0
khabdrick,LambdaXtextract,null
bsati,mgpl-xtext,null
UnBCIC-TP2,Oberon-XText,1.0
TopXDevTeam,TopXTextUI,null
ngreve,xtext_web,null
nmaoez,composer-language-server,null
FAMILIAR-project,xtext-dsl-compiler-example,null
eventB-Soton,XTheory,5.0
program-in-chinese,xtext_tutorial_15_min_zh,1.0
code-kontor,openCypher-Xtext,null
eclipse,epsilon,null
UnBCIC-TP2,Oberon-IDE,1.0
idiomaticsoft,xtext-tips,1.0
atb,pt.isep.dsl.puml,null
Webastronaut,mgpl,1.0
PAMunb,MetaCrySL,null
raghvendra-v,tosca-yaml-lsp,null
zxhr,gradle-xtext-generator,null
tmtron,ex.xtext.lsp,null
echebbi,standalone-xtext-example,1.0
darvasd,xtext-docs-gen,1.0
jcabot,WordPress-Plugin-DSL,null
JensBAndersen,PolicyLanguage,null
Zannith,XtextTest,null
AnnaLenaMeiners,XtextExamples,null
Kerolos77,XTextEditor,null
Mabar16,xtextMath,null
holgerschill,xtextCodebuff,null
devzwy,XTextView,null
mraminella,XtextExamples,1.0
msntts,XtextStudy,1.0
chiachong,XTextClassification,null
vinisbranco,XtextGerador,null
pakhopav,XtextPlugin,null
IamRaziel,XtextTutorial,null
dstoft,XtextWorkspace,2.0
MisbahAwan,XtextCollaborativeEnvironment,null
pakhopav,XtextLanguage,null
fonuhuolian,XTextView,null
RomainLefeuvre,xtextHW,null
BestCoderXQX,XTextFlagDemo,null
vinisbranco,XtextTrabalho2,1.0
loicperreal,Xtext,null
goflyboy,xtextsample,null
SharkJ,XtextInheritanceTest,1.0
hewenyuAndroid,XTextView-Android,null
OLibutzki,XtextExtras446,1.0
vinisbranco,XtextJavaScript,null
AndreasGroentved,XtextDSL2018,16.0
robertchristen,XTextCategorizer.Demo,null
alvarofpp,tutorial-xtext,null
pakhopav,XtextLanguageGradle,null
pakhopav,xtext,null
adamhorvath88,Xtext,null
0xMYsteRy,Xtext,null
taylorlohan,XtextHealth2.0,0.0
Caroline66666,xtext,null
xuxiaowen87,XText,null
MisbahAwan,xtext,2.0
ichxorya,failed-xtext2vscode-example,null
hwong23,dsl.evtool,null
RobMoloney,xtext,null
l1ppe,xtext,1.0
madhouni,wps-ecore-ocl-xtext,1.0
MISO4202,uniandes.mdd.xtext2xmi,null
tchebs,xtext,1.0
mlopez8621,xtext,1.0
magick93,xtext,null
ShivaniBali,Theia-Xtext-Yangster-Project-,1.0
ehah,XtendExample,null
MISO4202,co.edu.uniandes.gramaticajmeter,1.0
vks2106,prenum,null
drkstr101,hello-xtext,3.0
arthurmosley,Essex-Test,null
eclipse,xtext-website-publish,null
jflopezfernandez,xtextutils,null
AlanQuadros,xtextlpmangan,3.0
jonaslagoni,JSON-Schema-to-internal-DSL,7.0
OezzyB,e-portfolio-Xtext,1.0
fedorov-vk,apds_dsl,null
zinon,xtextminer,null
mustafa231,xtexteditor,null
MOSafely,xtextrepo,null
bproenca,mpti-dsl,2.0
LorenzoBettini,xtext-domain-model-guice-5,1.0
BlackBeltTechnology,karaf-features-eclipse-xtext,null
vashchenkov,xtext-samle,null
germono,FormXtext,1.0
Quingo,compiler_xtext,null
ShrawanBK,xtext_salestransaction,null
tshoang,XMarking,1.33
szschaler,henshin_xtext_adapter,null
hakimuga,BIP-language,null
adautofbn,pascal-xtext,4.0
efuentesp,Xtext-UCS,null
preesm,ripacola-xtext,null
wibeck,testXtext,1.0
msun68,xtext-examples,1.0
xTexturedxx,xTexturedxx,null
HexXText,HexXText,null
Gricel-lee,Xtext-Maven,null
kolchanov,org.xtext.example.mydsl.parent,1.0
kecksk0enig,vuc-xtext,3.0
EvdokimovMaks,xtext-expressions,null
Sorokatov,xtext-demo,null
uppaal-emf,uppaal-xtext,null
matheuslenke,Xtext-UML,null
r4mtor,xtext-talks,2.0
nbhusare,xtext-playground,1.0
kokostino,xtext_kokomodel,null
GiordanoT,ocl-xtext,1.0
dr-jam,ABL-XText,null
lahirugayanga,xtext-projection,1.0
daniel614,xtext-webapp,7.0
Spiderixius,DSLIndividualXtext,null
mdsd-team-1,photos-xtext,3.0
efuentesp,xtext-cobol,null
torosky,Libreria-Xtext,null
MaxiEckert,Xtext-example,1.0
as500,xtext-rpgle,null
JavierOramas,AudiXText,null
xtext,xtext-monorepo,null
vjordan,Xtext_browser,1.0
Yop-La,xtext_project,1.0
JesterOrNot,Gitpod-XText,null
eclipse,xtext-archive,null
Lethalaric,xtext-learning,null
DSIE2,tr.xtext,null
ShivaniBali,Theia-Xtext,1.0
kthoms,xtext-webinar,null
christopherosthues,mgpl-xtext,null
zhanglin2018,learnXtext,1.0
seebgar,Xtext-Projects,null
Vallenstein,xtext_web,null
AbQadirr,dialogXtextflow,null
blue995,xtext-orm,null
arockiaraj1994,xtext-mvn,1.0
moein9,passXtext,null
saivarunr,xtext-editor,null
JesterOrNot,xtext-cli,null
Somiacao,xtext-web,null
katmatt,graphql-xtext,null
LIONant-depot,xtexture_compiler,null
tchebs,xtext-example,null
ballcoach12,xtext_samples,null
AssaX0,MDSE-xtext,1.0
samples-projects,sample-xtext,null
karthik137,xtext-demo,1.0
MDE-Course-23-24,SIRIUS-XTEXT,1.0
softlang,megal-xtext,24.0
laurocesar,xtext-domainmodel,1.0
Yahaya12,Xtext-project,null
malhxr,SpeechXtext,null
stanimirovv,xtext-extractor,null
3m3k3,xtext-congen,null
pen-zhang,xtext_elm_editor,null
NSaitoNmiri,toppers_cfg_xtext,null
tmtron,ex.xtext.twog,null
vinicius0197,metacrysl,null
Dexels,navascript-editor,null
adrianrutle,PCS953-EMF-Exercise,null
ravornyo,xspice,1.0
yamen-njm,IotXtext,null
kainzpat14,xtext-plsql,8.0
epsilonlabs,emc-xtext,null
robertovillarejo,kukulkan-grammar,4.0
lvanzeun,ulm-xtext-test,2.0
purerstamp,N7.compilateur,5.0
jaedabee,xtext-gradle-test,null
MassiBelaid,M-langeuse-Xtext,null
qxe35v,xtext_encoding_dsl,1.5
random-eclipse,nix-eclipse-xtext,null
meta-doodle,Xtext_Gradle_Test,null
LiamWalsh98,nusmv-xtext-lsp,1.0
MaximilianKoestler,vscode-xtext-links,null
AhmedEssam2212,xText-Editor-,null
adrinerDP,DSL-with-Xtext,null
cdietrich,xtext-domainmodel-ls,null
tmtron,ex.xtext.ml,null
andrewsandu,xtext-web-example,1.0
pngowda,xtext-build-tools,null
SharkJ,xtext-dsl-sample,1.0
hammedb197,team-hacktive-xtext,null
SimonCockx,xtext-monaco-example,null
mister-walter,xtext-folding-issue,null
alexvolh,xtext-xml-grammar,null
SharkJ,my-theia-xtext,1.0
urbanoanderson,xtext-gait-model,1.0
vjordan,Xtext_directory-file,1.0
JosBouwhuis,xText-DSL,null
CS130-W20,assignment-2-xtext,null
lunifera,xtext-jvmtypeprovider-standalone,null
bobbyfisher1,eclipse-workspace,1.0
dsl-course,xtext-entities-tutorial,null
Highbrainer,xtext-pde-target,null
mattsse,xtext-fipa-acl,null
XIECHO,qingo_xtext_documentation,null
FariSoftware,xtext-problem-matcher,null
ShrawanBK,xtext.sales.transactions,null
Lzgpom,xtext-gen-extension,null
drkstr101,Domainmodel,1.0
vinicius0197,expressions-dsl,2.0
LorenzoBettini,xtext-xdoc-releases,null
KarstenWilken,xTextForum,1.0
S-wald,xtext-plugin-gradle,1.0
lahirugayanga,xtext-example-dsl,1.0
cdietrich,xtext-fragment-experiments,null
cdietrich,xtext_bug_1974,null
bergmanngabor,xtext-railmap-demo,1.0
mchlrch,xtext-intro-bfh,1.0
EvdokimovMaks,xtext-example-entities,2.0
cipek,MyFirstXText,2.0
pngowda,xtext-ci-libs,null
paulvberlin,BaSiriusXtext,1.0
szarnyasg,sql-pgq-xtext,null
frademacher,xtext-jpms-test,null
xtext,xtext-monorepo-lfs,null
LorenzoBettini,xtext-build-utils,null
cdietrich,xtext-two-dsls,null
balazsgrill,xtext_bug508518,1.0
Tim-S,xtext-valueconverter-example,1.0
ayakurtam,xText-Editor,null
HouseBuilder-MDE,HouseBuilder-Xtext,null
xtext,xtext-orbit-replacement,null
fedorov-vk,xtext-xcore-sample,null
gustavotemple,mo631xtext,null
Tim-S,xtext-mapbasedscope-example,null
shakenetwork,xTextHandler,null
GabrielBozza,ProjetoXtextPFC,null
HexXText,HexXTextSMP,null
snarkipus,xtext-dsl-book,null
fedorov-vk,xtextxtend-book-examples,null
ArneDeutsch,xtext-gradle-example,1.0
oliver-reinhard,xtext-ppt-demo,1.0
tpluscode,xtext-completion-nullpointer,null
idiomaticsoft,sbt-xtext-plugin,null
pen-zhang,online_elm_xtext,2.0
raglu,ExternalDSL-xtext,null
kulcsii,xtext-railmap-theia,1.0
NiccoMlt,xtext-showdown-grammar,null
NinjaArmy,xtext-language-server,null
jnt0r,xtext-npe-reproducable,1.0
HermanPeeren,eJSL-ANTLR4,null
cs130-w21,statemachine,1.0
csbc92,MDSE-assignment3,3.0
ghillairet,org.example.mydsl.parent,1.0
antoine-morvan,caph-java-parser,null
abatti,XTEXT_FACPL3_PreserveVarious,null
tfLabs,xtext-languageserver-example-duplicator,null
LorenzoBettini,xtext-maven-plugin-example,null
cdietrich,xtext-eclipse-issue-1009,null
patrickneubauer,UoY-MODE-XTEXT,1.0
cau-se,sprat-ecosystem-dsl-xtext,1.0
cdietrich,theia-xtext-vscode-example,null
cdietrich,j9-tycho-xtext,null
loradd,xtext-lsp-ecore-support,1.0
nnn911,LaTeXTextOverlay,null
IbanezGio,VuC,null
Samirez,DSLs,null
ShahimEssaid,com.essaid.model.xtext,null
gon10,EclipseRepoTese,1.0
max-leuthaeuser,jmhmathexample,1.0
tshoang,WhitespaceIDE,null
seebgar,MISO4202-proyecto-xtext,null
NiccoMlt,xtext-15-minutes-tutorial,null
SharkJ,theia-xtext-extension-test,1.0
jku-win-se,JsonBasedXtextGrammar,null
altran-mde,xtext-sirius-integration.io,null
cdietrich,xtext-core-issue-1835,null
Zaki-Fadlan,xtext_getting_started_skilledup,null
raptor494,Xtext-Minecraft-JSON-Languages,1.0
rudi,xtext-emacs-lsp-demo,null
fedorov-vk,apds_prototype,null
test-editor,test-editor-xtext-gradle,null
Ixgauth,perspectiveDSL-Sirus-Xtext,0.0
keve98,SzakD_xtext_xtend,null
silvergl,xtext-headless-rcp-example,null
reinaqu,bpmnFromXtextDSL,null
xtext,xtext-p2-orbit,null
dsl-course,xtext-tutorial-turku-interim,1.0
tfLabs,xtext-lsp-validation-anyway,null
BalzGuenat,xtext-bug-minimal-example,null
dmfullstack,org.xtext.example.mydsl,null
SuelanyBrito,JFlex_CUP_XText_SQL,null
cdietrich,xtext-languageserver-example-simple,null
msntts,Xtext-Standalone-fat-jar,null
oldulov,cfeditor,1.0
LorenzoBettini,xtext-type-errors-examples,null
claudenirmf,OntoUML-2.0-Xtext,null
Mehmetcanss,example_xtext_language_server_vscode,null
lidochca,xtext.skip.build.before.rename,null
cdietrich,xtext-maven-plugin-coverage-example,1.0
Kevin-Philip,TP_etudiant_Compilax,8.0
elite-se,elite-se.xtext.languages.plantuml,null
tshoang,BareBonesIDE,null
tareklel,PDFtoText,null
TVTower,TVTBlitzmaxEditor,null
cdietrich,xtext-multi-dsl-manual-metamodel,null
hallvard,xost,null
davidmpaz,log-book,null
oliver-reinhard,xtext-scoping-default-imports-demo,1.0
tshoang,Simple-Barebone-XText-based-IDE,null
MISO4202,uniandes.mdd.example.create-xtext,1.0
NaoMod,XText-Language-Server-in-VSCode,1.0
MISO4202,xtext-egl-sql2java,1.0
cdietrich,simple-xtext-parallel-load-example,null
bobbyfisher1,expressions,2.0
lowcomote,DBML-to-ER,null
tfLabs,xtext-n4js-lsp,null
yishakabreham,mde.sales.transactions.xtext.4,1.0
Rajesh2015,DSL-using-Xtext-and-Xtend,1.0
cdietrich,xtext-lsp-tests-with-tycho,null
CarlosAsrc,Reconhecedor-scheme,5.0
oliver-reinhard,xtext-scoping-default-namespaces-demo,1.0
TVTower,TVTDatabaseEditor,null
casino-mdd,DSL,10.0
cokeSchlumpf,bashdsl,2.0
sumeetchhetri,faugjs-eclipse-plugin,1.0
sderrien,Uclid-editor,null
GlancingMind,xtext-lsp-missing-deleteFile-impl,null
zmy3036190149,theia-xtext-pf-v1-backup,1.0
MDSDLab,mdsd-2023-lab2-xtext-xtend,null
abieren,MDSD-Xtext-Project-for-JavaFX,3.0
SimonCockx,xtext-assertAllWhitespaceIsFormatted,null
tombk556,SF_Factories_Beleg2324_Xtext_DSL,null
DonatasC,CodeGeneration,null
trichterwolke,init,null
zs6jce,x400-xrpgle,null
cyrilnavessamuel,TripManagment,1.0
paullewallencom,xtext-xtend-978-1-7864-6496-5,null
coalae,telemed,1.0
vorburger,xtend-StackOverflowError-issue461,null
JoaoMAlmeida,projetoCompiladores18-2,null
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,null
vks2106,domain.model,1.0
metafacture,metafacture-flux,null
mrtnstn,example-script-language,null
Michel-Nassalang,eclipse_workspace,null
varadbal,FunPL,2.0
oliverablagojevic,QuestionnaireDSL,2.0
EightPillars,NmtranEditor,3.0
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,1.0
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,1.0
hvbargen,meth,null
mischnic,bachelors-thesis,null
cs130-w22,statemachine,null
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,1.0
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,null
mdsd-team-1,domain-specific-language,1.0
PalladioSimulator,Palladio-Editors-VSCode,null
nils-christian,xtend-active-annotation-issue,null
modicio,feature-dsl-tools,null
HBuender,Aim42Visualizer,null
scanyboss,ide-yourdsl,null
spirvdev,dumpsymb,null
thlaegler,edilang,null
agonzalezgaliana,mydsl-language-server,null
codezork,DSL-Blog,null
LorenzoBettini,issue-2000-example,null
trifonnt,net.adempiere.dsl.properties.spring.parent,1.0
scanyboss,hello-world-language,null
joerg-holtmann,Pretty-Printer_Language-Analysis,null
coffeeframework,HLVL,null
HermanPeeren,eJSL-MPS,null
kukulkan-project,kukulkan-language-server,7.0
mdsd-team-1,dsl-layered-style,null
larissafiorini,t2-lingProg,2.0
ragben,NetzDsl,null
Cosimo5lli,assertx-swing,5.0
gyaltso,Eclipse-Training-Schedules,null
wzurborg,xtend-example,null
kyberszittya,simple-ros-code-generator,5.0
LinguaPhylo,linguaPhyloDSL,null
dsanmartins,Entidades,null
opcoach,datasample,17.0
bujosa,smart-dsl,null
robinguill,DSL_UML_INSA,null
DedalArmy,SpringDSLJava,null
LiamWalsh98,tumlrt-language-server,null
jonev,HTTP-REST-test-DSL,1.0
ElBilbao,DSL-Wizard-Creator,1.0
ooaa30,Wail,1.0
Wilson008,GrammarGenerator,null
ScytherTool,dsl,1.0
NaoMod,MiniTL,null
ryangarvey,mde-spec,2.0
bfMarcelino,SchemeLP,1.0
henriklange,ifcBrickConvert,null
osarenogae,fault_trees_textual_editor,null
claudenirmf,TPTP-Editor,2.0
augustin-rialan,IDM,3.0
henriklange,ifcBrickConvertDsl,1.0
PikaQin,XModel-Code-Converter,1.0
helloyaqin,XModel-Code-Converter,1.0
Garlo13,CEPStaticAnalysis,1.0
Frederic-Boulanger-UPS,MiniARM-feature,null
Jaddison011,C4EventB,null
MDEGroup,metatemplating,2.6
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,null
grammeaway,math-interpreter-dsl,null
ahmedsaleh1998,concept_project,null
Chaimaa-Louahabi,Model-Driven-Engineering,null
fayssalElAnsari,Kotlin-Meta-Model,null
MisbahAwan,SeamlessRuntimeTransformations,null
ProjetoDSL,CanopusDesign,null
Ryuzaki101,Workbench,null
eclipse,xtext,null
eclipse,xtext-core,1.17
eclipse,xtext-xtend,1.0
eclipse,xtext-eclipse,1.03
eclipse,xtext-extras,1.36
eclipse,xtext-web,1.0
xtext,seven-languages-xtext,1.0
eclipse,xtext-maven,null
eclipse,xtext-lib,null
xtext,maven-xtext-example,null
seebk,LaTeXText,null
cdietrich,xtext-languageserver-example,null
eclipse,xtext-idea,null
adamschmideg,coffeescript-eclipse,null
RvonMassow,xDoc,6.5
xtext,xtext-gradle-plugin,null
LorenzoBettini,packtpub-xtext-book-2nd-examples,1.0
PrinceMei,xTextHandler,null
LorenzoBettini,packtpub-xtext-book-examples,1.0
theia-ide,theia-xtext,1.0
svenefftinge,xtext-lsp-workshop,1.0
ObeoNetwork,Xtext-Sirius-integration,4.0
dslmeinte,Xtext2-DSLs,null
merks,Xcore,5.0
ssi-schaefer,lcdsl,18.0
eclipse,xtext-umbrella,null
danieldietrich,xtext-protected-regions,null
xtext,xtend-gradle-plugin,null
aphethean,xtext-maven-examples,null
ckulla,xtext-tycho-example,null
vorburger,xtext-sandbox,1.0
basilfx,xtext-standalone-maven-build,1.0
JakeGinnivan,XText,null
OLibutzki,xtext.tools,null
Xpitfire,xtext-dnn,null
LorenzoBettini,Xtext2-experiments,4.25
eclipse,xsemantics,1.0
xtext,xtext-reference-projects,null
mzaks,FlatBuffersSchemaEditor,10.0
vorburger,eLang,null
fuinorg,emt-xtext-archetype,null
eclipse-soc,amalgamation-examples-xtext,null
kthoms,xtext-experimental,null
dsldevkit,dsl-devkit,1.64
itemis,generator-xtext,null
att,yang-design-studio,1.0
martinbaker,xtextadd,3.8
LorenzoBettini,edelta,0.82
sebastianbenz,xgherkin,null
vladdu,xtext.unittesting,null
slizaa,slizaa-opencypher-xtext,null
xpomul,cdo-xtext,null
mark-christiaens,Xtext-Models-Stats-View,null
TypeFox,xtext-jflex,null
vorburger,eclipse-typescript-xtext,null
patrickneubauer,XMLText,null
xtext,org.xtext.antlr.generator,null
boalang,xtext-ide,null
nittka,terminology,null
veraPDF,veraPDF-model-syntax,null
TypeFox,languageserver-example,null
Hellmy,plantuml-eclipse-xtext,null
stephanrauh,JSFLibraryGenerator,null
loonwerks,jkind-xtext,null
TatyPerson,Xtext2Sonar,null
TypeFox,xtext-vscode,null
svenefftinge,Xtext-Workshop-Development-Workspace,null
cdietrich,xtext-uml-example,null
cdietrich,xtext-maven-example,null
marklemay,tptpParser,null
borgar,xtexts,null
uqbar-project,xtext-tortuga-lang,null
dslmeinte,Xtext1-DSLs,null
applause,applause,null
LorenzoBettini,ecefrance2015-xtext-example,null
jcmm33,DirectXTextBlock,null
dhuebner,xtext-apidiff,null
appdev,XTextView,null
oehme,xtext-maven-example,null
SMadani,ThriftMDE,null
xtext,xtext-external-editors,null
itemis,xtext-generator-vscode,null
soluvas,ecommerce-sample,null
tianguanghui,xTextHandler-objc,null
meysholdt,xtext_stateful_lexer,null
holgerschill,XtextCon_Xcore_Maven,null
scottopell,vim-xtext,null
itemis,xtext-debug-example-no-xbase,null
TypeFox,Xtext-XMI,null
joergreichert,XtextPlayground,null
wuwen1030,XTExtension,null
fuinorg,org.fuin.dsl.cqrs,null
JanKoehnlein,EclipseCon2013_XtextTutorial,null
avaranovich,megal-xtext,null
fuinorg,org.fuin.dsl.ddd,null
arturboronat,xtext.domainmodel,null
otrosien,xtext-perl,null
cmendible,Hexa.xText,null
SciSpike,yaktor-dsl-xtext,null
andrearn,org.fornax.soa.xtextservicerepository,null
ujhelyiz,xtext-reflective,null
szarnekow,xtextcon-xbase-example,null
bsi-software,org.eclipse.scout.xtext,null
cdietrich,xtext-languageserver-xbase-example,null
test-editor,deprecated-test-editor-xtext,null
awk-kazmin,eclipse_1C_xtext,null
svenefftinge,fowlers-statemachine-with-expressions,null
copton,XTextExamples,null
GeekBugs,XTextView,null
akosyakov,org.xtext.example.mydsl.idea,null
vaulttec,isis-script,null
HBehrens,Xtext2Workshop,null
GrupoHunter,Kukuroo,null
itemis,xtext-languageserver-example-lsp4e,null
fatalerrortan,Xtext_Xtend_HTML_Generator,null
spoenemann,xtext-gef,null
Minres,RDL-Editor,null
svenefftinge,Guice-Modules-DSL,null
LorenzoBettini,jbase,null
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,null
hishidama,xtext-dmdl-editor,null
cmark,androtext,null
svenefftinge,homeautomation-example,null
SOM-Research,graphQL-xtext-grammar,null
janesser,frege-xtext,null
szarnekow,org.eclipse.e4.xcss,null
LorenzoBettini,xtext-scoping,null
JanKoehnlein,ESE-2010-Tutorial,null
spoenemann,xtext-orion,null
Modaptix,xtext-expressions,null
nittka,Jtag,null
erlide,erlide_xtext,null
cdietrich,xtext-forum-support-example,null
ESIR2Compilation,Langage-WHILE,null
jhonatan89,gen-angular-grammar,null
Sofiane-13,tutorialXtextSirius,null
eclipse-soc,amalgamation-examples,null
dvdkruk,xtext-xsd-resourceprovider,null
marnix,metamath-eclipse-xtext,null
JanKoehnlein,Xtext-Syntax-View,null
planger,xtext-uml-experiment,null
rquinio,ck2xtext,null
mzaks,petrinet_dsl,null
drnappalm,xtext,null
svenefftinge,Xtext-Workshop-Runtime-Workspace,null
martijndwars,XtextXT,null
nahni,xtextTessla,null
baidty,xtextLearning,null
MoayadHn,XtextBDI,null
fzalila,XtextExperiments,null
Girish-Venkatesh,XTextSelenium,null
Vinayakatk,xtextScopes,null
01Lizard10,XTextUML,null
Salome-Maro,XtextUtils,null
fanghuixing,XtextApricot,null
mraminella,xtextTests,null
Alma2015RSABSAWA,XtextLangage,null
myorb,XTextParser,null
Jhinnn,XTextView,null
kathisai,xtextSample,null
huibo-shi,XtextExamples,null
osamu-k,XTextStudy,null
Treehopper,XTextTemplate,null
seba111,Xtext1,null
shinesamjacob,XtextExample,null
ajperalt,xtext,null
schakko,xtext-plugin-with-maven-tycho,null
colameo,xtext4roo,null
vinpereira,XtextToXMI,null
JanKoehnlein,XtextCon2014,null
bink81,xtext-test,null
xtext42,xtext42-coding,null
borisbrodski,XtextBug437519,null
hypery2k,xText,null
borisbrodski,XtextBug453268,null
arnulfo-rodriguez,XtextClosureExample,null
superxlx,XTextViewDemo,null
johnBened,XtextMyDSLExample,null
philiber92,XtextTestRepository,null
fabienfleureau,XtextAtStackoverflow,null
yunxiaocloud,XTextFieldLimtDemo,null
eclipse,xtext-gradle,null
Mensmec,THESIS_XTEXT,null
MacJariel,sandbox-dsl,null
chetanladdha,XtextFormatingHoverSample,null
ainslec,XTextCustomLexerExample,null
hem28,DSL_Xtext2.3,null
HBuender,XtextAndSiriusIntegration,null
meysholdt,EclipseCon2014_XtextTutorial,null
jaimedelgado,Xtext,null
chris125964,xtext,null
DonRenando,xtext,null
martijndwars,Xtext,null
ozkandemir,XText,null
johnahfong,xtext,null
Mensmec,Xtext,null
pellcorp,xtext,null
Tutti91,Xtext,null
ANCIT,xtext-examples,null
DECENTSoftwareAssessment,dag.m1x,null
rmemory,xtext,null
deb-sandeep,com.sandy.xtext.jovenotes.tests,null
yasuohosotani,Xtext,null
Nika24,Xtext,null
BenediktNiehues,de.nie.fin,null
AlexElvers,XText,null
lakzso,xtext,null
seba111,Xtext,null
MacJariel,xtext,null
tmtron,xtext.15minTutorial,null
blewis13,Boxes,null
DECENTSoftwareAssessment,famix.m3x,null
dslmeinte,SimScript,null
webdaford,aqleditor,null
goldschmiede,2012-02-03_dsls_mit_xtext,null
kthoms,org.eclipse.xtext.example.domainmodel,null
Reitzner,xtextmaven,null
hectorsun,xtextonboost,null
duck2,xtextbg,null
HolyCityAudio,SpinCAD-Builder,null
ceefour,glproto,null
DECENTSoftwareAssessment,dag.m1x.tests,null
gvd,xtext-sm,null
davidmpaz,php.ware.web.ui,null
DanielWeber,xtextext,null
fzalila,xtextfsm,null
DECENTSoftwareAssessment,dag.m1x.sdk,null
jgoppert,xmodelica,null
Vinayakatk,xtextgeneratetest,null
deb-sandeep,com.sandy.xtext.jovenotes,null
DECENTSoftwareAssessment,dag.m1x.ui,null
viatra,viatra-evm-xtext,null
protossoftware,ReqText,null
meysholdt,e4dsl,null
benzait27,Xtext.Promo,null
malakeel,myDsl,null
npalix,org.eclipse.xtext.example.arithmetics,null
sormgabriel,textual_verduler,null
ekowahyudi,examplextext,null
DECENTSoftwareAssessment,famix.m3x.ui,null
nakul02,sialx-xtext-ide,null
kduske-n4,DomainModel,null
Infoly,SmallJava,null
inakuhn,de.htwg.mdse.setgame.entities.parent,null
mlanoe,x-vhdl,null
DECENTSoftwareAssessment,famix.m3x.tests,null
nkonev,CalcXtext,null
meysholdt,xtext_examples,null
manuelleduc,xtext-lib,null
xarvey,atom-xtext-package,null
LolloCorte,bpel-xtext,null
sciolizer,xtext-sandbox,null
denschu,xtext-whitespace,null
pablitar,claseXtext,null
DECENTSoftwareAssessment,famix.m3x.sdk,null
tdegueul,xtext-composition,null
danieldietrich,xtext-javatools,null
akademia,ontouml-xtext,null
efuentesp,codebuilder-xtext,null
zrrk,xtext-utils,null
juli1,xtext-debug,null
nbhusare,Xtext-sandbox,null
jachinte,xtext-grammars,null
susieagerholm,XTEXT_EXAMPLE,null
itemis,monaco-xtext,null
xiaoyvr,xtext-demo,null
hmc-cs111-fall2015,picobot-XText,null
yanntm,Xtext-Light,null
quendimax,libXtextcursorchanger,null
Ikraminfo,GrammaireXtext,null
nickeeyyoo,xtext_project,null
marinamygithub,xtext_project,null
lukashaertel,xtext-xgen,null
fmca,xtext-typesystem,null
almazhou,xtext-demo,null
Huluvu424242,xtext.example,null
kiddochan,xtext-typesystem,null
mmalohlava,ppXtext,null
ponta027,xtext_practice,null
bhdrkn,Xtext-Examples,null
fatalerrortan,Xtext-examples,null
gcr-nist,runtime-Xtext,null
fBrx,language-xtext,null
ilya-klyuchnikov,sll-xtext,null
vonbolt,Xtext_test,null
rytina,xtext-typesystem,null
philiber92,xtext-utils,null
thomasfischl,xtext-workshop,null
jbadeau,ng-xtext,null
OliverScherf,MGPL-Xtext,null
szarnyasg,gradle-xtext,null
malbac,Xtend_Xtext,null
gitpan,Convert-XText,null
rmemory,xtext_eclipse,null
lukashaertel,xtext-technocat,null
lukashaertel,xtext-xtestgen,null
zhangyuanqiao,selenium-xtext,null
cooked,modelica-xtext,null
pablitar,firewall-xtext,null
hamza-abed,JSEditorXtext,null
Virtlink,paplj-xtext,null
kwanggy,xtext-sublime,null
thicket-lang,thicket-xtext,null
agentlab,xtext-web,null
test-editor,xtext-dropwizard,null
kecskesk,xtext-menetrend,null
ftrifin,xtext-utils,null
scottopell,xtext_utils,null
lukashaertel,xtext-fsml,null
sahrmann,xtext-json,null
Modaptix,xtext-utils,null
