Owner,Repository,Contains New Extensions
waynepiekarski,XTextureExtractor,NO
TypeFox,theia-xtext-sprotty-example,YES
altran-mde,xtext-sirius-integration,YES
graph-quilt,graphql-xtext,NO
TypeFox,vscode-xtext-sprotty-example,YES
eclipse,xtext-website,NO
intuit,common-xtext-expression-language,NO
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,YES
resloved,xtext,NO
lurenzhangdeshuai,EmojiText-XText,NO
kuniss,xtext-ide-extensions,YES
graph-quilt,xtext-service-dsl,YES
btc-ag,service-idl,YES
eventB-Soton,XUML_B,NO
Minres,CoreDSL,YES
TypeFox,xtext2langium,NO
v-bashev,post_core,YES
NielsLiisberg,RPG-lexer,NO
OpenSextant,XText,NO
laubfall,jugh-xtext-arkanoid,YES
khabdrick,LambdaXtextract,NO
bsati,mgpl-xtext,NO
UnBCIC-TP2,Oberon-XText,YES
TopXDevTeam,TopXTextUI,NO
ngreve,xtext_web,NO
nmaoez,composer-language-server,NO
FAMILIAR-project,xtext-dsl-compiler-example,NO
eventB-Soton,XTheory,NO
program-in-chinese,xtext_tutorial_15_min_zh,YES
code-kontor,openCypher-Xtext,NO
eclipse,epsilon,YES
UnBCIC-TP2,Oberon-IDE,NO
idiomaticsoft,xtext-tips,YES
atb,pt.isep.dsl.puml,NO
Webastronaut,mgpl,YES
PAMunb,MetaCrySL,NO
raghvendra-v,tosca-yaml-lsp,YES
zxhr,gradle-xtext-generator,NO
tmtron,ex.xtext.lsp,YES
echebbi,standalone-xtext-example,YES
darvasd,xtext-docs-gen,NO
jcabot,WordPress-Plugin-DSL,YES
JensBAndersen,PolicyLanguage,NO
Zannith,XtextTest,NO
AnnaLenaMeiners,XtextExamples,NO
Kerolos77,XTextEditor,NO
Mabar16,xtextMath,NO
holgerschill,xtextCodebuff,NO
devzwy,XTextView,NO
mraminella,XtextExamples,NO
msntts,XtextStudy,YES
chiachong,XTextClassification,NO
vinisbranco,XtextGerador,NO
pakhopav,XtextPlugin,NO
IamRaziel,XtextTutorial,NO
dstoft,XtextWorkspace,NO
MisbahAwan,XtextCollaborativeEnvironment,NO
pakhopav,XtextLanguage,NO
fonuhuolian,XTextView,NO
RomainLefeuvre,xtextHW,NO
BestCoderXQX,XTextFlagDemo,NO
vinisbranco,XtextTrabalho2,YES
loicperreal,Xtext,NO
goflyboy,xtextsample,NO
SharkJ,XtextInheritanceTest,NO
hewenyuAndroid,XTextView-Android,NO
OLibutzki,XtextExtras446,YES
vinisbranco,XtextJavaScript,NO
AndreasGroentved,XtextDSL2018,NO
robertchristen,XTextCategorizer.Demo,NO
alvarofpp,tutorial-xtext,YES
pakhopav,XtextLanguageGradle,NO
pakhopav,xtext,NO
adamhorvath88,Xtext,NO
0xMYsteRy,Xtext,NO
taylorlohan,XtextHealth2.0,NO
Caroline66666,xtext,NO
xuxiaowen87,XText,NO
MisbahAwan,xtext,NO
ichxorya,failed-xtext2vscode-example,YES
hwong23,dsl.evtool,NO
RobMoloney,xtext,NO
l1ppe,xtext,NO
madhouni,wps-ecore-ocl-xtext,NO
