Name,Repository Name,Repository HTML URL,Owner Name
Sleigh.xtext,ghidra,https://github.com/NationalSecurityAgency/ghidra,NationalSecurityAgency
Xtext.xtext,xtext,https://github.com/eclipse/xtext,eclipse
IECST.xtext,vscode-st,https://github.com/Serhioromano/vscode-st,Serhioromano
Gaml.xtext,gama,https://github.com/gama-platform/gama,gama-platform
Rules.xtext,openhab-core,https://github.com/openhab/openhab-core,openhab
temp_Room.xtext,franca,https://github.com/franca/franca,franca
LinguaFranca.xtext,lingua-franca,https://github.com/lf-lang/lingua-franca,lf-lang
DeltaJ.xtext,FeatureIDE,https://github.com/FeatureIDE/FeatureIDE,FeatureIDE
Owl.xtext,SysML-v2-Pilot-Implementation,https://github.com/Systems-Modeling/SysML-v2-Pilot-Implementation,Systems-Modeling
IDL.xtext,emf4cpp,https://github.com/catedrasaes-umu/emf4cpp,catedrasaes-umu
Render.xtext,opentelemetry-network,https://github.com/open-telemetry/opentelemetry-network,open-telemetry
Spec.xtext,Jnario,https://github.com/sebastianbenz/Jnario,sebastianbenz
RD.xtext,Getaviz,https://github.com/softvis-research/Getaviz,softvis-research
Template.xtext,seven-languages-xtext,https://github.com/xtext/seven-languages-xtext,xtext
Check.xtext,dsl-devkit,https://github.com/dsldevkit/dsl-devkit,dsldevkit
MyQvto.xtext,Pretty-Printer_Language-Analysis,https://github.com/joerg-holtmann/Pretty-Printer_Language-Analysis,joerg-holtmann
OperationDsl.xtext,lemma,https://github.com/SeelabFhdo/lemma,SeelabFhdo
StateSpecification.xtext,CertWare,https://github.com/nasa/CertWare,nasa
Paplj.xtext,paplj-xtext,https://github.com/Virtlink/paplj-xtext,Virtlink
Cord.xtext,main,https://github.com/chorusjs/main,chorusjs
Language.xtext,sysadl,https://github.com/consiste/sysadl,consiste
Mel.xtext,emfviews,https://github.com/atlanmod/emfviews,atlanmod
Instance.xtext,osate2,https://github.com/osate/osate2,osate
Musket.xtext,musket-material,https://github.com/wwu-pi/musket-material,wwu-pi
Tutorial.xtext,xtextadd,https://github.com/martinbaker/xtextadd,martinbaker
Tutorial.xtext,xtextadd,https://github.com/martinbaker/xtextadd,martinbaker
TextualMVD.xtext,step,https://github.com/Bitub/step,Bitub
Dsl.xtext,CorC,https://github.com/KIT-TVA/CorC,KIT-TVA
SimpleAntlr.xtext,XMLIntellEdit,https://github.com/patrickneubauer/XMLIntellEdit,patrickneubauer
RestDsl.xtext,RESTgen,https://github.com/Orrimp/RESTgen,Orrimp
EQL.xtext,eFaps-EQL,https://github.com/eFaps/eFaps-EQL,eFaps
Yang.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
GT.xtext,emoflon-ibex-ui,https://github.com/eMoflon/emoflon-ibex-ui,eMoflon
ex2-grammar_Qa.xtext,NTNU,https://github.com/magnuskiro/NTNU,magnuskiro
WML.xtext,svn,https://github.com/battle-for-wesnoth/svn,battle-for-wesnoth
Verdict.xtext,VERDICT,https://github.com/ge-high-assurance/VERDICT,ge-high-assurance
CoffeeScript.xtext,coffeescript-eclipse,https://github.com/adamschmideg/coffeescript-eclipse,adamschmideg
ClassData.xtext,klassviz,https://github.com/kieler/klassviz,kieler
VCML.xtext,VClipse,https://github.com/webXcerpt/VClipse,webXcerpt
Domainmodel.xtext,dslforge,https://github.com/plugbee/dslforge,plugbee
Ivml.xtext,EASyProducer,https://github.com/SSEHUB/EASyProducer,SSEHUB
PDL2.xtext,ENSEEIHT,https://github.com/MOUDDENEHamza/ENSEEIHT,MOUDDENEHamza
Typescript.xtext,eclipse-typescript-xtext,https://github.com/vorburger/eclipse-typescript-xtext,vorburger
Ddl.xtext,keen,https://github.com/ugilio/keen,ugilio
Iotlang.xtext,iotdsl,https://github.com/atlanmod/iotdsl,atlanmod
TraceLanguage.xtext,gamma,https://github.com/ftsrg/gamma,ftsrg
GModelDSL.xtext,efxclipse-eclipse,https://github.com/eclipse-efx/efxclipse-eclipse,eclipse-efx
CARMA.xtext,CARMA,https://github.com/Quanticol/CARMA,Quanticol
