Owner Login,Repository Name,Repository URL
waynepiekarski,XTextureExtractor,https://github.com/waynepiekarski/XTextureExtractor
TypeFox,theia-xtext-sprotty-example,https://github.com/TypeFox/theia-xtext-sprotty-example
altran-mde,xtext-sirius-integration,https://github.com/altran-mde/xtext-sirius-integration
graph-quilt,graphql-xtext,https://github.com/graph-quilt/graphql-xtext
TypeFox,vscode-xtext-sprotty-example,https://github.com/TypeFox/vscode-xtext-sprotty-example
eclipse,xtext-website,https://github.com/eclipse/xtext-website
intuit,common-xtext-expression-language,https://github.com/intuit/common-xtext-expression-language
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,https://github.com/PacktPublishing/Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend
resloved,xtext,https://github.com/resloved/xtext
lurenzhangdeshuai,EmojiText-XText,https://github.com/lurenzhangdeshuai/EmojiText-XText
kuniss,xtext-ide-extensions,https://github.com/kuniss/xtext-ide-extensions
graph-quilt,xtext-service-dsl,https://github.com/graph-quilt/xtext-service-dsl
btc-ag,service-idl,https://github.com/btc-ag/service-idl
eventB-Soton,XUML_B,https://github.com/eventB-Soton/XUML_B
Minres,CoreDSL,https://github.com/Minres/CoreDSL
TypeFox,xtext2langium,https://github.com/TypeFox/xtext2langium
v-bashev,post_core,https://github.com/v-bashev/post_core
NielsLiisberg,RPG-lexer,https://github.com/NielsLiisberg/RPG-lexer
OpenSextant,XText,https://github.com/OpenSextant/XText
laubfall,jugh-xtext-arkanoid,https://github.com/laubfall/jugh-xtext-arkanoid
khabdrick,LambdaXtextract,https://github.com/khabdrick/LambdaXtextract
bsati,mgpl-xtext,https://github.com/bsati/mgpl-xtext
UnBCIC-TP2,Oberon-XText,https://github.com/UnBCIC-TP2/Oberon-XText
TopXDevTeam,TopXTextUI,https://github.com/TopXDevTeam/TopXTextUI
ngreve,xtext_web,https://github.com/ngreve/xtext_web
nmaoez,composer-language-server,https://github.com/nmaoez/composer-language-server
FAMILIAR-project,xtext-dsl-compiler-example,https://github.com/FAMILIAR-project/xtext-dsl-compiler-example
eventB-Soton,XTheory,https://github.com/eventB-Soton/XTheory
program-in-chinese,xtext_tutorial_15_min_zh,https://github.com/program-in-chinese/xtext_tutorial_15_min_zh
code-kontor,openCypher-Xtext,https://github.com/code-kontor/openCypher-Xtext
eclipse,epsilon,https://github.com/eclipse/epsilon
UnBCIC-TP2,Oberon-IDE,https://github.com/UnBCIC-TP2/Oberon-IDE
idiomaticsoft,xtext-tips,https://github.com/idiomaticsoft/xtext-tips
atb,pt.isep.dsl.puml,https://github.com/atb/pt.isep.dsl.puml
Webastronaut,mgpl,https://github.com/Webastronaut/mgpl
PAMunb,MetaCrySL,https://github.com/PAMunb/MetaCrySL
raghvendra-v,tosca-yaml-lsp,https://github.com/raghvendra-v/tosca-yaml-lsp
zxhr,gradle-xtext-generator,https://github.com/zxhr/gradle-xtext-generator
tmtron,ex.xtext.lsp,https://github.com/tmtron/ex.xtext.lsp
echebbi,standalone-xtext-example,https://github.com/echebbi/standalone-xtext-example
darvasd,xtext-docs-gen,https://github.com/darvasd/xtext-docs-gen
jcabot,WordPress-Plugin-DSL,https://github.com/jcabot/WordPress-Plugin-DSL
JensBAndersen,PolicyLanguage,https://github.com/JensBAndersen/PolicyLanguage
Zannith,XtextTest,https://github.com/Zannith/XtextTest
AnnaLenaMeiners,XtextExamples,https://github.com/AnnaLenaMeiners/XtextExamples
Kerolos77,XTextEditor,https://github.com/Kerolos77/XTextEditor
Mabar16,xtextMath,https://github.com/Mabar16/xtextMath
holgerschill,xtextCodebuff,https://github.com/holgerschill/xtextCodebuff
devzwy,XTextView,https://github.com/devzwy/XTextView
mraminella,XtextExamples,https://github.com/mraminella/XtextExamples
msntts,XtextStudy,https://github.com/msntts/XtextStudy
chiachong,XTextClassification,https://github.com/chiachong/XTextClassification
vinisbranco,XtextGerador,https://github.com/vinisbranco/XtextGerador
pakhopav,XtextPlugin,https://github.com/pakhopav/XtextPlugin
IamRaziel,XtextTutorial,https://github.com/IamRaziel/XtextTutorial
dstoft,XtextWorkspace,https://github.com/dstoft/XtextWorkspace
MisbahAwan,XtextCollaborativeEnvironment,https://github.com/MisbahAwan/XtextCollaborativeEnvironment
pakhopav,XtextLanguage,https://github.com/pakhopav/XtextLanguage
