owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
waynepiekarski,XTextureExtractor,0,0,0,0,0,0,0
TypeFox,theia-xtext-sprotty-example,12/12/2018 14:34,4/7/2020 15:57,12/12/2018 14:34,12/12/2018 14:34,482,0,0
altran-mde,xtext-sirius-integration,8/14/2017 12:01,7/19/2022 15:46,8/15/2017 14:11,10/28/2019 16:15,1800,804,44.67
graph-quilt,graphql-xtext,11/25/2019 18:33,6/15/2023 21:50,11/25/2019 18:33,3/6/2023 11:04,1298,1197,92.22
TypeFox,vscode-xtext-sprotty-example,10/7/2020 17:23,1/12/2021 15:29,10/30/2020 13:50,10/30/2020 13:50,96,0,0
eclipse,xtext-website,0,0,0,0,0,0,0
intuit,common-xtext-expression-language,4/1/2021 10:00,4/4/2022 10:01,4/1/2021 10:00,5/19/2021 18:16,368,48,13.04
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,5/10/2019 14:34,1/30/2023 15:17,5/14/2019 15:16,5/14/2019 15:16,1361,0,0
resloved,xtext,0,0,0,0,0,0,0
lurenzhangdeshuai,EmojiText-XText,0,0,0,0,0,0,0
kuniss,xtext-ide-extensions,2/23/2019 16:41,10/20/2020 0:07,5/5/2019 0:47,5/11/2019 23:49,604,6,0.99
graph-quilt,xtext-service-dsl,11/16/2021 20:15,9/8/2022 10:33,11/16/2021 20:15,11/16/2021 20:15,296,0,0
btc-ag,service-idl,3/29/2018 11:56,6/26/2019 13:43,4/3/2018 15:27,8/9/2018 10:52,454,127,27.97
eventB-Soton,XUML_B,1/10/2019 11:52,11/10/2020 9:03,7/28/2020 14:29,11/6/2020 14:35,669,101,15.1
Minres,CoreDSL,9/23/2020 12:33,2/4/2024 16:46,9/23/2020 12:33,11/25/2023 21:07,1229,1158,94.22
TypeFox,xtext2langium,0,0,0,0,0,0,0
v-bashev,post_core,7/7/2021 18:05,11/20/2022 0:38,7/7/2021 22:03,11/19/2022 19:43,500,499,99.8
NielsLiisberg,RPG-lexer,12/3/2019 10:36,12/3/2019 11:49,12/3/2019 10:55,12/3/2019 11:30,0,0,0
OpenSextant,XText,0,0,0,0,0,0,0
laubfall,jugh-xtext-arkanoid,3/21/2018 14:23,10/31/2018 12:30,3/21/2018 14:23,3/27/2018 17:11,223,6,2.69
khabdrick,LambdaXtextract,0,0,0,0,0,0,0
bsati,mgpl-xtext,2/1/2021 18:45,2/7/2021 23:24,2/1/2021 18:45,2/7/2021 17:27,6,5,83.33
UnBCIC-TP2,Oberon-XText,4/22/2021 10:06,5/18/2021 14:37,5/4/2021 11:20,5/4/2021 11:20,26,0,0
TopXDevTeam,TopXTextUI,0,0,0,0,0,0,0
ngreve,xtext_web,0,0,0,0,0,0,0
nmaoez,composer-language-server,8/8/2019 11:06,2/15/2022 6:08,8/9/2019 13:59,8/19/2019 15:20,921,10,1.09
FAMILIAR-project,xtext-dsl-compiler-example,11/3/2020 15:53,11/3/2020 15:53,11/3/2020 15:53,11/3/2020 15:53,0,0,0
eventB-Soton,XTheory,5/26/2018 8:15,7/17/2018 18:02,5/28/2018 1:16,7/17/2018 15:14,52,50,96.15
program-in-chinese,xtext_tutorial_15_min_zh,1/19/2018 14:08,1/21/2018 16:24,1/19/2018 14:08,1/21/2018 0:54,2,1,50
code-kontor,openCypher-Xtext,10/4/2016 16:44,4/27/2021 22:47,1/10/2019 21:53,2/6/2021 11:12,1666,757,45.44
eclipse,epsilon,9/11/2008 10:23,3/5/2024 9:57,7/25/2019 20:46,2/27/2021 10:37,5653,582,10.3
UnBCIC-TP2,Oberon-IDE,5/19/2021 15:20,5/20/2021 10:32,5/19/2021 15:20,5/19/2021 15:20,0,0,0
idiomaticsoft,xtext-tips,3/17/2022 15:57,5/16/2022 15:55,3/17/2022 15:57,5/16/2022 15:55,59,59,100
atb,pt.isep.dsl.puml,12/19/2019 21:19,5/11/2020 8:26,12/19/2019 21:19,12/19/2019 21:27,143,0,0
Webastronaut,mgpl,2/5/2019 10:25,2/7/2019 15:35,2/7/2019 15:35,2/7/2019 15:35,2,0,0
