Owner Login,Repo Name,Found Extensions
waynepiekarski,XTextureExtractor,
TypeFox,theia-xtext-sprotty-example,sm
altran-mde,xtext-sirius-integration,"classes,ekeylang,html,inlineClasses,reflang,reflang_edit,statemachine,statemachineInlineedit"
graph-quilt,graphql-xtext,graphql
TypeFox,vscode-xtext-sprotty-example,sm
eclipse,xtext-website,
intuit,common-xtext-expression-language,expr
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
resloved,xtext,ddd
lurenzhangdeshuai,EmojiText-XText,
kuniss,xtext-ide-extensions,xtext
graph-quilt,xtext-service-dsl,service
btc-ag,service-idl,idl
eventB-Soton,XUML_B,umlbx
Minres,CoreDSL,core_desc
TypeFox,xtext2langium,
v-bashev,post_core,post
NielsLiisberg,RPG-lexer,rpgle
OpenSextant,XText,ddd
laubfall,jugh-xtext-arkanoid,ark
khabdrick,LambdaXtextract,
bsati,mgpl-xtext,mgpl
UnBCIC-TP2,Oberon-XText,oberon
TopXDevTeam,TopXTextUI,
ngreve,xtext_web,lpdsl
nmaoez,composer-language-server,expression
FAMILIAR-project,xtext-dsl-compiler-example,mydsl1
eventB-Soton,XTheory,thy
program-in-chinese,xtext_tutorial_15_min_zh,"mydsl,quan6"
code-kontor,openCypher-Xtext,cypher
eclipse,epsilon,"dmodel,evldsl"
UnBCIC-TP2,Oberon-IDE,oberon
idiomaticsoft,xtext-tips,"block,hello,hellogen,hex"
atb,pt.isep.dsl.puml,puml
Webastronaut,mgpl,mgpl
PAMunb,MetaCrySL,crysl
raghvendra-v,tosca-yaml-lsp,"yaml,yml"
zxhr,gradle-xtext-generator,
tmtron,ex.xtext.lsp,exdsl
echebbi,standalone-xtext-example,mydsl
darvasd,xtext-docs-gen,domain
jcabot,WordPress-Plugin-DSL,wpdsl
JensBAndersen,PolicyLanguage,
Zannith,XtextTest,
AnnaLenaMeiners,XtextExamples,"expressions,smalljava"
Kerolos77,XTextEditor,
Mabar16,xtextMath,
holgerschill,xtextCodebuff,
devzwy,XTextView,
mraminella,XtextExamples,"expressions,smalljava"
msntts,XtextStudy,mydsl
chiachong,XTextClassification,
vinisbranco,XtextGerador,
pakhopav,XtextPlugin,
IamRaziel,XtextTutorial,dmodel
dstoft,XtextWorkspace,"mathint,tut1"
MisbahAwan,XtextCollaborativeEnvironment,pkgdsl
pakhopav,XtextLanguage,
fonuhuolian,XTextView,
