Owner,Repository,Mwe2 Existence
waynepiekarski,XTextureExtractor,NO
TypeFox,theia-xtext-sprotty-example,YES
altran-mde,xtext-sirius-integration,YES
graph-quilt,graphql-xtext,YES
TypeFox,vscode-xtext-sprotty-example,YES
eclipse,xtext-website,NO
intuit,common-xtext-expression-language,YES
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,YES
resloved,xtext,YES
lurenzhangdeshuai,EmojiText-XText,NO
kuniss,xtext-ide-extensions,YES
graph-quilt,xtext-service-dsl,YES
btc-ag,service-idl,YES
eventB-Soton,XUML_B,YES
Minres,CoreDSL,YES
TypeFox,xtext2langium,NO
v-bashev,post_core,YES
NielsLiisberg,RPG-lexer,YES
OpenSextant,XText,YES
laubfall,jugh-xtext-arkanoid,YES
khabdrick,LambdaXtextract,NO
bsati,mgpl-xtext,YES
UnBCIC-TP2,Oberon-XText,YES
TopXDevTeam,TopXTextUI,NO
ngreve,xtext_web,YES
nmaoez,composer-language-server,YES
FAMILIAR-project,xtext-dsl-compiler-example,YES
eventB-Soton,XTheory,YES
program-in-chinese,xtext_tutorial_15_min_zh,YES
code-kontor,openCypher-Xtext,YES
eclipse,epsilon,YES
UnBCIC-TP2,Oberon-IDE,YES
idiomaticsoft,xtext-tips,YES
atb,pt.isep.dsl.puml,YES
Webastronaut,mgpl,YES
PAMunb,MetaCrySL,YES
raghvendra-v,tosca-yaml-lsp,YES
zxhr,gradle-xtext-generator,NO
tmtron,ex.xtext.lsp,YES
echebbi,standalone-xtext-example,YES
darvasd,xtext-docs-gen,YES
jcabot,WordPress-Plugin-DSL,YES
JensBAndersen,PolicyLanguage,NO
Zannith,XtextTest,NO
AnnaLenaMeiners,XtextExamples,YES
Kerolos77,XTextEditor,NO
Mabar16,xtextMath,NO
holgerschill,xtextCodebuff,NO
devzwy,XTextView,NO
mraminella,XtextExamples,YES
msntts,XtextStudy,YES
chiachong,XTextClassification,NO
vinisbranco,XtextGerador,NO
pakhopav,XtextPlugin,NO
IamRaziel,XtextTutorial,YES
dstoft,XtextWorkspace,YES
MisbahAwan,XtextCollaborativeEnvironment,YES
pakhopav,XtextLanguage,NO
fonuhuolian,XTextView,NO
RomainLefeuvre,xtextHW,YES
BestCoderXQX,XTextFlagDemo,NO
vinisbranco,XtextTrabalho2,YES
loicperreal,Xtext,YES
goflyboy,xtextsample,NO
SharkJ,XtextInheritanceTest,YES
hewenyuAndroid,XTextView-Android,NO
OLibutzki,XtextExtras446,YES
vinisbranco,XtextJavaScript,NO
AndreasGroentved,XtextDSL2018,YES
robertchristen,XTextCategorizer.Demo,NO
alvarofpp,tutorial-xtext,YES
pakhopav,XtextLanguageGradle,NO
pakhopav,xtext,YES
adamhorvath88,Xtext,YES
0xMYsteRy,Xtext,YES
taylorlohan,XtextHealth2.0,NO
Caroline66666,xtext,YES
xuxiaowen87,XText,YES
MisbahAwan,xtext,YES
ichxorya,failed-xtext2vscode-example,YES
hwong23,dsl.evtool,YES
RobMoloney,xtext,YES
l1ppe,xtext,YES
madhouni,wps-ecore-ocl-xtext,NO
