Owner,Repo,Average Commit Count
waynepiekarski,XTextureExtractor,failed
TypeFox,theia-xtext-sprotty-example,1.0
altran-mde,xtext-sirius-integration,2.75
graph-quilt,graphql-xtext,7.0
TypeFox,vscode-xtext-sprotty-example,null
eclipse,xtext-website,null
intuit,common-xtext-expression-language,null
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,1.0
resloved,xtext,failed
lurenzhangdeshuai,EmojiText-XText,null
kuniss,xtext-ide-extensions,4.0
graph-quilt,xtext-service-dsl,1.0
btc-ag,service-idl,11.0
eventB-Soton,XUML_B,3.0
Minres,CoreDSL,30.0
TypeFox,xtext2langium,null
v-bashev,post_core,null
NielsLiisberg,RPG-lexer,3.0
OpenSextant,XText,failed
laubfall,jugh-xtext-arkanoid,5.0
khabdrick,LambdaXtextract,null
bsati,mgpl-xtext,null
UnBCIC-TP2,Oberon-XText,1.0
TopXDevTeam,TopXTextUI,null
ngreve,xtext_web,failed
nmaoez,composer-language-server,2.0
FAMILIAR-project,xtext-dsl-compiler-example,null
eventB-Soton,XTheory,6.0
program-in-chinese,xtext_tutorial_15_min_zh,3.5
code-kontor,openCypher-Xtext,2.0
eclipse,epsilon,null
UnBCIC-TP2,Oberon-IDE,1.0
idiomaticsoft,xtext-tips,1.0
atb,pt.isep.dsl.puml,1.5
Webastronaut,mgpl,1.0
PAMunb,MetaCrySL,30.0
raghvendra-v,tosca-yaml-lsp,3.0
zxhr,gradle-xtext-generator,1.0
tmtron,ex.xtext.lsp,2.0
echebbi,standalone-xtext-example,1.0
darvasd,xtext-docs-gen,1.0
jcabot,WordPress-Plugin-DSL,13.0
JensBAndersen,PolicyLanguage,3.0
Zannith,XtextTest,null
AnnaLenaMeiners,XtextExamples,null
Kerolos77,XTextEditor,null
Mabar16,xtextMath,1.0
holgerschill,xtextCodebuff,failed
devzwy,XTextView,null
mraminella,XtextExamples,1.0
msntts,XtextStudy,1.5
chiachong,XTextClassification,null
vinisbranco,XtextGerador,failed
pakhopav,XtextPlugin,null
IamRaziel,XtextTutorial,null
dstoft,XtextWorkspace,2.0
MisbahAwan,XtextCollaborativeEnvironment,null
pakhopav,XtextLanguage,failed
